?cls	?def
<http://purl.obolibrary.org/obo/UBERON_0003489>	"An endothelium of capillary that is part of a respiratory system [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0002357>	"Serous membrane which is divided into parietal and visceral serous pericardium."
<http://purl.obolibrary.org/obo/UBERON_0009616>	"A presumptive structure that has the potential to develop into a midbrain."
<http://purl.obolibrary.org/obo/UBERON_0011997>	"The aggregate of the coelemic cavity lumen plus the membranes that line the lumen."
<http://purl.obolibrary.org/obo/UBERON_0011189>	"A lamina propria that is part of a large intestine."
<http://purl.obolibrary.org/obo/UBERON_0006268>	"A midline cellular cord formed from the migration of mesenchymal cells from the primitive knot"
<http://purl.obolibrary.org/obo/UBERON_0004480>	"Any collection of muscles that is part of a limb [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0001008>	"The renal system in an anatomical system that maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products.."
<http://purl.obolibrary.org/obo/UBERON_0001009>	"organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis[WP]."
<http://purl.obolibrary.org/obo/UBERON_0000467>	"Multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function."
<http://purl.obolibrary.org/obo/UBERON_0002390>	"Anatomical system that is involved in the production of hematopoietic cells."
<http://purl.obolibrary.org/obo/UBERON_0002416>	"Connected anatomical system that forms a barrier between an animal and its environment. In vertebrates, the integumental system consists of the epidermis, dermis plus associated glands and adnexa such as hair and scales. In invertebrates, the integumental system may include cuticle."
<http://purl.obolibrary.org/obo/UBERON_0001434>	"Anatomical system that is a multi-element, multi-tissue anatomical cluster that consists of the skeleton and the articular system."
<http://purl.obolibrary.org/obo/UBERON_0001016>	"The nervous system is an organ system containing predominantly neuron and glial cells. In bilaterally symmetrical organism, it is arranged in a network of tree-like structures connected to a central body. The main functions of the nervous system are to regulate and control body functions, and to receive sensory input, process this information, and generate behavior [CUMBO]."
<http://purl.obolibrary.org/obo/UBERON_0004456>	"Sum of all sensory systems in an organism."
<http://purl.obolibrary.org/obo/UBERON_0002204>	"Anatomical system that consists of the muscular and skeletal systems."
<http://purl.obolibrary.org/obo/UBERON_0002330>	"Anatomical system that consists of the glands and parts of glands that produce exocrine secretions and help to integrate and control bodily metabolic activity. Exocrine glands are glands that secrete their products (hormones) into ducts (duct glands). They are the counterparts to endocrine glands, which secrete their products (hormones) directly into the bloodstream (ductless glands) or release hormones (paracrines) that affect only target cells nearby the release site. [Wikipedia]."
<http://purl.obolibrary.org/obo/UBERON_0000964>	"the transparent anterior portion of the fibrous coat of the eye that serves as the chief refractory structure"
<http://purl.obolibrary.org/obo/UBERON_0014777>	"A neuromere that is part of the presumptive spinal cord"
<http://purl.obolibrary.org/obo/UBERON_0004731>	"A transverse unitary subdivision of the neural tube that shares a common dorsoventral structure (floor, basal, alar, and roof plates), but each having differential molecular identities and fates; they comprise the secondary prosencephalon, diencephalon (prosomeres), the midbrain (mesomeres), and the hindbrain (rhombomeres)."
<http://purl.obolibrary.org/obo/UBERON_0004227>	"the smooth muscle tissue surrounding the urothelium of the kidney pelvis"
<http://purl.obolibrary.org/obo/UBERON_0001775>	"the thickened portion of the vascular tunic, which lies between the choroid and the iris, composed of ciliary muscle and ciliary processes"
<http://purl.obolibrary.org/obo/UBERON_0007500>	"An epithelial tube open at both ends that allows fluid flow."
<http://purl.obolibrary.org/obo/CHEBI_16134>	"An azane that consists of a single nitrogen atom covelently bonded to three hydrogen atoms."
<http://purl.obolibrary.org/obo/UBERON_0001159>	"The part of the large intestine that is closest to the rectum and anus. It forms a loop that averages about 40 cm. in length, and normally lies within the pelvis, but on account of its freedom of movement it is liable to be displaced into the abdominal cavity."
<http://purl.obolibrary.org/obo/UBERON_0015228>	"A hollow, muscular organ, which, by contracting rhythmically, contributes to the circulation of lymph, blood or analogs. Examples: a chambered vertebrate heart; the tubular peristaltic heart of ascidians; the dorsal vessel of an insect; the lymoh heart of a reptile."
<http://purl.obolibrary.org/obo/UBERON_0003103>	"Anatomical structure that has as its parts two or more multi-tissue structures of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona fide boundaries from other distinct anatomical structures of different types."
<http://purl.obolibrary.org/obo/UBERON_0000066>	"The stage of development at which the animal is fully formed, including immaturity and maturity. Includes both sexually immature stage, and adult stage."
<http://purl.obolibrary.org/obo/GO_0009605>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."
<http://purl.obolibrary.org/obo/CHEBI_15734>	"A primary alcohol is a compound in which a hydroxy group, -OH, is attached to a saturated carbon atom which has either three hydrogen atoms attached to it or only one other carbon atom and two hydrogen atoms attached to it."
<http://purl.obolibrary.org/obo/UBERON_0002349>	"the middle layer of the heart, comprised mainly of striated cardiac muscle fibers"
<http://purl.obolibrary.org/obo/NBO_0000187>	"\"Ability to explicitly recall information about a specific event that has occurred at a specific time and place.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/NBO_0000185>	"\"Ability to become conscious of, or declare, facts and experiences.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0003061>	"Blood islands are structures in the developing embryo which lead to many different parts of the circulatory system. They primarily derive from plexuses formed from angioblasts. Within them, vacuoles appear through liquefaction of the central part of the syncytium into plasma. The lumen of the blood vessels thus formed is probably intracellular. The flattened cells at the periphery form the endothelium. The nucleated red blood corpuscles develop either from small masses of the original angioblast left attached to the inner wall of the lumen or directly from the flat endothelial cells. In either case the syncytial mass thus formed projects from and is attached to the wall of the vessel. Such a mass is known as a blood island and hemoglobin gradually accumulates within it. Later the cells on the surface round up, giving the mass a mulberry-like appearance. Then the red blood cells break loose and are carried away in the plasma. Such free blood cells continue to divide. Blood islands have been seen in the area vasculosa in the omphalomesenteric vein and arteries, and in the dorsal aorta[WP, unvetted]."
<http://purl.obolibrary.org/obo/UBERON_0004237>	"smooth muscle found within, and composing the majority of the wall of blood vessels."
<http://purl.obolibrary.org/obo/UBERON_0003614>	"Elastic tissue layer that lines a blood vessel layer."
<http://purl.obolibrary.org/obo/UBERON_0002120>	"In mammals, the pronephros is the first of the three embryonic kidneys to be established and exists only transiently. In lower vertebrates such as fish and amphibia, the pronephros is the fully functional embryonic kidney and is indispensible for larval life[GO]."
<http://purl.obolibrary.org/obo/GO_0048511>	"Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."
<http://purl.obolibrary.org/obo/UBERON_0000059>	"A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi[Kardong]."
<http://purl.obolibrary.org/obo/UBERON_0000081>	"In mammals, the metanephros is the excretory organ of the fetus, which develops into the mature kidney and is formed from the rear portion of the nephrogenic cord. The metanephros is an endocrine and metabolic organ that filters the blood and excretes the end products of body metabolism in the form of urine[GO]"
<http://purl.obolibrary.org/obo/UBERON_0012239>	"network of tubes that carries blood through the distensible musculomembranous organ that serves to collect and store urine excreted by the kidneys[MP]"
<http://purl.obolibrary.org/obo/UBERON_0001440>	"The collection of all skeletal elements in a free forelimb region. Excludes the pectoral girdle"
<http://purl.obolibrary.org/obo/NBO_0002702>	"\"A regulation of drinking behavior process associated with the preference over alchohol consumption. \" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0002418>	"Skeletal tissue that is avascular, rich in glycosaminoglycans (GAGs) and typically includes chondrocytes within isolated lacunae. Cartilage tissue is deposited by chondroblasts."
<http://purl.obolibrary.org/obo/NBO_0000423>	"\"A dyssomnia characterised by excessive daytime sleepiness (EDS) in which a person experiences extreme fatigue and possibly falls asleep at inappropriate times.\" [wikipedia:Narcolepsy]"
<http://purl.obolibrary.org/obo/UBERON_0009566>	"A submucosa that is part of a intestine."
<http://purl.obolibrary.org/obo/UBERON_0010083>	"Mesenchyme that has the potential to develop into a dermis."
<http://purl.obolibrary.org/obo/CHEBI_77746>	"Any mammalian metabolite  produced during a metabolic reaction in humans (Homo sapiens)."
<http://purl.obolibrary.org/obo/UBERON_0002100>	"Organism subdivision which is the part of the body posterior to the cervical region (or head, when cervical region not present) and anterior to the caudal region. Includes the sacrum when present."
<http://purl.obolibrary.org/obo/UBERON_0003839>	"A limb joint that is part of a forelimb [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0001085>	"A zone of skin that is part of a trunk [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0013695>	"Vascular endothelium found in colon blood vessels."
<http://purl.obolibrary.org/obo/UBERON_0001986>	"A layer of epithelium that lines the heart, blood vessels (endothelium, vascular), lymph vessels (endothelium, lymphatic), and the serous cavities of the body[MESH]. Simple squamous epithelium which lines blood and lymphatic vessels and the heart[FMA]"
<http://purl.obolibrary.org/obo/UBERON_0000397>	"An epithelium that is part of a colon [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0000683>	"\"A temporal lobe epilepsy arises in the neocortex on the outer surface of the temporal lobe of the brain.\" [wikipedia:http\\://en.wikipedia.org/wiki/Temporal_lobe_epilepsy]"
<http://purl.obolibrary.org/obo/NBO_0000650>	"\"A type of focal epilepsy characterized by recurrent seizures.\" [NBO:http\\://en.wikipedia.org/wiki/Temporal_lobe_epilepsy]"
<http://purl.obolibrary.org/obo/UBERON_0012240>	"external opening or orifice of the urethra through which urine and seminal fluid (in males only) leave the body; in males the meatus presents as a vertical slit normally positioned at the tip of glans penis; in females the meatus is located between the clitoris and the vagina in the vulvular vestibule of the female genitalia[MP]."
<http://purl.obolibrary.org/obo/UBERON_0004128>	"The optic vesicle is the evagination of neurectoderm that precedes formation of the optic cup[GO]. Portion of tissue that is comprised of neuroepitheium which has pinched off from the anterior neural keel and will form the optic cup[ZFA]."
<http://purl.obolibrary.org/obo/CHEBI_33893>	"A substance used in a chemical reaction to detect, measure, examine, or produce other substances."
<http://purl.obolibrary.org/obo/UBERON_0005179>	"An organ or element that is part of the pelvic region. Examples: reproductive organs (in some organisms), urinary bladder, bones of the pelvis."
<http://purl.obolibrary.org/obo/UBERON_0005316>	"The endothelial lining of the endocardium."
<http://purl.obolibrary.org/obo/UBERON_0004980>	"A mucosa that is part of a ureter [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0004582>	"The part of the cardiovascular system consisting of all venous vessels. In vertebrates with a double circulation, this can be divided into systemic and pulmonary portions."
<http://purl.obolibrary.org/obo/UBERON_0000414>	"A gland in which the principal secretory cells are mucus secreting cells."
<http://purl.obolibrary.org/obo/CHEBI_17688>	"A 3-(1-methylpyrrolidin-2-yl)pyridine in which the chiral centre has S-configuration. The naturally occurring and most active enantiomer of nicotine, isolated from Nicotiana tabacum."
<http://purl.obolibrary.org/obo/UBERON_0011642>	"An epithelium that develops_from a ectoderm and is part of a oral epithelium."
<http://purl.obolibrary.org/obo/UBERON_0010371>	"Epithelium composed of cells that develops from the ectoderm[FMA,modified]."
<http://purl.obolibrary.org/obo/UBERON_0002424>	"An epithelium that is part of the mouth and lines the oral cavity, typically stratified squamous, and may be para-, ortho- or non- keratinized. Primary barrier between oral environment and deeper tissues"
<http://purl.obolibrary.org/obo/UBERON_0000490>	"Epithelium which consists of a single layer of epithelial cells. Examples: endothelium, mesothelium, glandular squamous epithelium.[FMA]"
<http://purl.obolibrary.org/obo/UBERON_0004760>	"A gland that is part of an anal canal [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0020066>	"Facilitating release or transfer of gametes."@en
<http://purl.obolibrary.org/obo/CHEBI_33261>	"An organosulfur compound is a compound containing at least one carbon-sulfur bond."
<http://purl.obolibrary.org/obo/UBERON_0004874>	"A structure created during embryogenesis when the lateral mesoderm splits into two layers - the outer (or somatic) layer becomes applied to the inner surface of the ectoderm, and with it forms the somatopleure.[WP]."
<http://purl.obolibrary.org/obo/GO_2000292>	"Any process that modulates the frequency, rate or extent of defecation."
<http://purl.obolibrary.org/obo/UBERON_0002355>	"The lower segment of the trunk, inferioposterior to the abdomen proper, in the transition area between the trunk and the lower limbs."
<http://purl.obolibrary.org/obo/UBERON_0009669>	"An anatomical space that surrounded_by a embryonic cloaca."
<http://purl.obolibrary.org/obo/NBO_0001728>	"\"Behavior as a result of sensitivity to an addictive substance intake.\" [NBOC:GVG]"
<http://purl.obolibrary.org/obo/NBO_0001679>	"\"Behavior as a result of a xenobiotic compound (compound foreign to living organisms) stimulus.\" [NBOC:GVG]"
<http://purl.obolibrary.org/obo/CHEBI_35474>	"Anxiolytic drugs are agents that alleviate anxiety, tension, and anxiety disorders, promote sedation, and have a calming effect without affecting clarity of consciousness or neurologic conditions."
<http://purl.obolibrary.org/obo/UBERON_0009972>	"The junction between the ureter and the renal pelvis of the kidney"
<http://purl.obolibrary.org/obo/UBERON_0000487>	"Unilaminar epithelium which consists of a single layer of squamous cells. Examples: pulmonary alveolar epithelium, endothelium.[FMA]"
<http://purl.obolibrary.org/obo/UBERON_0000110>	"Staged defined by the formation of a tube from the flat layer of ectodermal cells known as the neural plate. This will give rise to the central nervous system."
<http://purl.obolibrary.org/obo/CHEBI_22917>	"An insecticide compound naturally occurring in plants."
<http://purl.obolibrary.org/obo/CHEBI_18723>	"A racemate composed of equimolar amounts of (R)- and (S)-nicotine."
<http://purl.obolibrary.org/obo/UBERON_0000488>	"Epithelium that consists of epithelial cells not arranged in one ore more layers."
<http://purl.obolibrary.org/obo/UBERON_0003859>	"Mesenchyme that is part of a developing forelimb [Automatically generated definition]."
<http://purl.obolibrary.org/obo/GO_0042747>	"A stage in the circadian sleep cycle during which dreams occur and the body undergoes marked changes including rapid eye movement, loss of reflexes, and increased pulse rate and brain activity."
<http://purl.obolibrary.org/obo/UBERON_0014792>	"Any collection of muscles that is part of a pelvic complex. The pelvic complex comprises the pelvic girdle and the associated limb or fin."
<http://purl.obolibrary.org/obo/UBERON_0004490>	"A portion of cardiac muscle tissue that is part of an atrium [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0005409>	"The part of the digestive system that excludes the hepatobiliary system."
<http://purl.obolibrary.org/obo/UBERON_0008962>	"A bone that is part of a forelimb region. Examples: humerus, any of the phalanges. Counter-example: scapula (a bone of the pectoral girdle). Note that we consider the forelimb to end at the shoulder."
<http://purl.obolibrary.org/obo/UBERON_0000922>	"Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."
<http://purl.obolibrary.org/obo/UBERON_0003075>	"A region of embryonic ectodermal cells that lie directly above the notochord. During neurulation, they change shape and produce an infolding of the neural plate (the neural fold) that then seals to form the neural tube[XAO]. The earliest recognizable dorsal ectodermal primordium of the central nervous system present near the end of gastrulation before infolding to form the neural keel; consists of a thickened pseudostratified epithelium[ZFA]"
<http://purl.obolibrary.org/obo/CHEBI_32111>	"A 1,2-benzisothiazole having a keto-group at the 3-position and two oxo substituents at the 1-position. It is used as an artificial sweetening agent."
<http://purl.obolibrary.org/obo/UBERON_0005006>	"A mucosa that is part of a renal pelvis [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0045002>	"The inhalation and exhalation of tobacco smoke."
<http://purl.obolibrary.org/obo/NBO_0045000>	"Any habitual use of the tobacco plant leaf and its products."
<http://purl.obolibrary.org/obo/NBO_0015005>	"Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose."
<http://purl.obolibrary.org/obo/UBERON_0001133>	"Muscle tissue composed of cardiac muscle cells, forming the muscles of the heart[ZFA,modified]."
<http://purl.obolibrary.org/obo/UBERON_0010314>	"An anatomical structure that has some part that develops from the neural crest."
<http://purl.obolibrary.org/obo/UBERON_0002036>	"Muscle tissue that contains fibers that are divided by transverse bands into striations."
<http://purl.obolibrary.org/obo/CHEBI_91007>	"A carboxylic acic anion obtained by deprotonation of the carboxy group of any aromatic carboxylic acid. Major species at pH 7.3."
<http://purl.obolibrary.org/obo/NBO_0000052>	"Behavior associated with two or more individuals' achieving or maintaining close and extensive bodily contact; to nestle closely with another [NBO:AC]"
<http://purl.obolibrary.org/obo/NBO_0000051>	"\"Behavior related to the actions by which an organism modulates its internal body temperature.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0001985>	"A monolayer of specialized, flattened, mitochondria-rich cells that lines the posterior surface of the cornea and faces the anterior chamber of the eye[WP]."
<http://purl.obolibrary.org/obo/GO_0050965>	"The series of events involved in the perception of pain in which a temperature stimulus is received and converted into a molecular signal."
<http://purl.obolibrary.org/obo/GO_0050961>	"The series of events in which a temperature stimulus is received and converted into a molecular signal as part of sensory perception."
<http://purl.obolibrary.org/obo/GO_0062149>	"The series of events involved in the perception of pain in which a stimulus is received and converted into a molecular signal."
<http://purl.obolibrary.org/obo/UBERON_0002481>	"Skeletal tissue with a collagen-rich extracellular matrix vascularized, mineralized with hydroxyapatite and typically including osteocytes located in lacunae that communicate with one another by cell processes (in canaliculi). Bone is deposited by osteoblasts."
<http://purl.obolibrary.org/obo/NBO_0000608>	"\"Perception in the absence of a stimulus.\" [wikipedia:Hallucination]"
<http://purl.obolibrary.org/obo/NBO_0000646>	"\"A seizure which affect only a part of the brain at onset.\" [wikipedia:http\\://en.wikipedia.org/wiki/Focal_seizures]"
<http://purl.obolibrary.org/obo/NBO_0000025>	"\"An uncontrolled, paroxysmal neuronal discharge in any part of the brain; it may cause physical or mental symptoms and may be convulsive or nonconvulsive\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/GO_0007600>	"The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."
<http://purl.obolibrary.org/obo/CHEBI_77941>	"An EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor that interferes with the action of amidase (EC 3.5.1.4)."
<http://purl.obolibrary.org/obo/NBO_0000078>	"\"Behavior related to the specific actions or reactions of an organism following mating.\" [GOC:bf]"
<http://purl.obolibrary.org/obo/CHEBI_33246>	"Any substituent group which does not contain carbon."
<http://purl.obolibrary.org/obo/GO_0050976>	"The series of events involved in the perception of touch in which a mechanical stimulus is received and converted into a molecular signal."
<http://purl.obolibrary.org/obo/UBERON_0004118>	"A vasculature that is part of a iris [Automatically generated definition]."
<http://purl.obolibrary.org/obo/NBO_0000130>	"\"A behavior associated with the intake of liquid.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0000966>	"The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates."
<http://purl.obolibrary.org/obo/UBERON_0005614>	"A layer of cuboidal epithelial cells bounded anteriorly by the capsule of the lens and posteriorly by the lens cortex."
<http://purl.obolibrary.org/obo/UBERON_0002407>	"The combination of pericardial sac (a double-walled sac containing the heart and the roots of the great vessels) plus fibrous pericardium."
<http://purl.obolibrary.org/obo/UBERON_0005421>	"An apical ectodermal ridge that is part of a pectoral appendage bud."
<http://purl.obolibrary.org/obo/UBERON_0004572>	"The part of the cardiovascular system consisting of all arteries."
<http://purl.obolibrary.org/obo/UBERON_0001801>	"any of the parts of the eye that lie in front of, or ventral to, the lens (inclusive)"
<http://purl.obolibrary.org/obo/UBERON_0000014>	"Any portion of the organ that covers that body and consists of a layer of epidermis and a layer of dermis."
<http://purl.obolibrary.org/obo/UBERON_0001768>	"the pigmented middle of the three concentric layers that make up an eye, consisting of the iris, ciliary body and choroid[WP,edited]."
<http://purl.obolibrary.org/obo/CHEBI_17303>	"A morphinane alkaloid that is a highly potent opiate analgesic psychoactive drug. Morphine acts directly on the central nervous system (CNS) to relieve pain but has a high potential for addiction, with tolerance and both physical and psychological dependence developing rapidly. Morphine is the most abundant opiate found in Papaver somniferum (the opium poppy)."
<http://purl.obolibrary.org/obo/GO_0050957>	"The series of events required for an organism to receive an orientational stimulus, convert it to a molecular signal, and recognize and characterize the signal. Equilibrioception refers to a combination of processes by which an organism can perceive its orientation with respect to gravity. In animals, stimuli come from labyrinth system of the inner ears, monitoring the direction of motion; visual stimuli, with information on orientation and motion; pressure receptors, which tell the organism which body surfaces are in contact with the ground; and proprioceptive cues, which report which parts of the body are in motion."
<http://purl.obolibrary.org/obo/UBERON_3010200>	"Blood vessels in respiratory skin."
<http://purl.obolibrary.org/obo/UBERON_0000485>	"Unilaminar epithelium, which consists of a single layer of columnar cells. Examples: ciliated columnar epithelium, gastric epithelium, microvillus columnar epithelium.[FMA]"
<http://purl.obolibrary.org/obo/UBERON_0004341>	"The primitive streak is a structure that forms during the early stages of avian, reptilian and mammalian embryonic development[WP]. the midline ridge of the embryonic epiblast that later develops into mesoderm and endoderm[MP]"
<http://purl.obolibrary.org/obo/UBERON_0003593>	"A portion of connective tissue that is part of a thoracic cavity [Automatically generated definition]."
<http://purl.obolibrary.org/obo/CHEBI_15339>	"A molecular entity that can accept an electron, a pair of electrons, an atom or a group from another molecular entity."
<http://purl.obolibrary.org/obo/UBERON_0000463>	"Material anatomical entity in a gaseous, liquid, semisolid or solid state; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body."
<http://purl.obolibrary.org/obo/UBERON_0001215>	"A blood vessel that drains blood from the large intestine that usually terminates when reaching the splenic vein, which goes on to form the portal vein with the superior mesenteric vein (SMV). Anatomical variations include the IMV draining into the confluence of the SMV and splenic vein and the IMV draining in the SMV. The IMV lies to the right of the similarly name artery, the inferior mesenteric artery, which originates from the abdominal aorta. [WP,unvetted]."
<http://purl.obolibrary.org/obo/GO_0042745>	"The cycle from wakefulness through an orderly succession of sleep states and stages that occurs on an approximately 24 hour rhythm."
<http://purl.obolibrary.org/obo/GO_0048512>	"The specific behavior of an organism that recurs with a regularity of approximately 24 hours."
<http://purl.obolibrary.org/obo/CHEBI_5686>	"A cyclic compound having as ring members atoms of at least two different elements."
<http://purl.obolibrary.org/obo/UBERON_0001676>	"the bone at the lower, posterior part of the skull"
<http://purl.obolibrary.org/obo/UBERON_0001419>	"A zone of skin that is part of a limb [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0010523>	"A vessel of the microcirculature, lying between the arterioles and venules; includes capillaries (blood and lymphatic), metarterioles and arteriovenous anastomoses."
<http://purl.obolibrary.org/obo/UBERON_0000055>	"A tubular structure that contains, conveys body fluid, such as blood or lymph."
<http://purl.obolibrary.org/obo/NBO_0000015>	"\"A behavioral interaction between organisms in which one organism has the intention of inflicting damage on another individual using physical or verbal means.\" [wikipedia:Aggression]"
<http://purl.obolibrary.org/obo/NBO_0000003>	"\"Behavior related to the complex psychophysiological experience of an individual's state of mind as interacting with biochemical (internal) and environmental (external) influences.\" [wikipedia:Emotions]"
<http://purl.obolibrary.org/obo/UBERON_0004288>	"Anatomical cluster that consists of all the skeletal elements (eg., bone, cartilage, and teeth) of the body."
<http://purl.obolibrary.org/obo/UBERON_0002532>	"In amniote animal embryology, the epiblast is a tissue type derived either from the inner cell mass in mammals or the blastodisc in birds and reptiles. It lies above the hypoblast. In mammalian embryogenesis, the columnar cells of the epiblast are adjacent to the trophoblast, while the cuboidal cells of the hypoblast are closer to the blastocoele. The epiblast, whilst referred to as the primary ectoderm, differentiates to form all three layers of the trilaminar germ disc in a process called gastrulation[WP]. The outer of the two layers of the blastoderm that form during gastrulation, corresponding to primitive ectoderm during gastrulation and to the definitive ectoderm after gastrulation[ZFA]"
<http://purl.obolibrary.org/obo/NBO_0000271>	"Behaviors that are described for or done by groups of animals, not individual animals [NBO:SMAC]"
<http://purl.obolibrary.org/obo/NBO_0000609>	"\"A form of hallucination that involves perceiving images without visual stimulus.\" [NBO:GVG]"
<http://purl.obolibrary.org/obo/UBERON_0007389>	"A cartilage tissue that is part of a paired limb or fin."
<http://purl.obolibrary.org/obo/PATO_0001558>	"A quality of a process inhering in a bearer by virtue of the bearer's lacking a processual part as specified by the additional entity."
<http://purl.obolibrary.org/obo/UBERON_0000476>	"Anatomical structure that consists of cell parts and cell substances and together does not constitute a cell or a tissue."
<http://purl.obolibrary.org/obo/UBERON_0003587>	"A portion of connective tissue that is part of a limb [Automatically generated definition]."
<http://purl.obolibrary.org/obo/UBERON_0002067>	"The dermis is a layer of skin between the epidermis (with which it makes up the skin) and subcutaneous tissues, and is composed of two layers, the papillary and reticular dermis[WP]."
<http://purl.obolibrary.org/obo/UBERON_0004121>	"An anatomical structure that develops (entirely or partially) from the ectoderm."
<http://purl.obolibrary.org/obo/UBERON_0013754>	"A organ component layer that is part of a integumental system."
<http://purl.obolibrary.org/obo/PATO_0001863>	"A duration quality of a process inhering in a bearer by virtue of the bearer's having slow progressive course of indefinite duration."
<http://purl.obolibrary.org/obo/UBERON_0002240>	"Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO)"
<http://purl.obolibrary.org/obo/CHEBI_15377>	"An oxygen hydride consisting of an oxygen atom that is covalently bonded to two hydrogen atoms."
<http://purl.obolibrary.org/obo/UBERON_0004356>	"multilayered ectodermal region at the distal tip of a limb or fin bud necessary for the proper development of the underlying mesenchyme[MP,modified]. Along with the zone of polarizing activity, it is a crucial organizing region during limb development[WP]."
