defined_class	defined_class_name	chemical_identity	chemical_identity_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO_0000638	anti-HSV-1 agent therapy	CHEBI:64953	anti-HSV-1 agent						
MAXO_0000639	anti-HSV-2 agent therapy	CHEBI:64954	anti-HSV-2 agent						
MAXO_0000220	glucocorticicoid agent therapy	CHEBI:24261	glucocorticoid						
MAXO_0000640	corticosteroid therapy	CHEBI:50858	corticosteroid						
MAXO_0000642	emetic therapy	CHEBI_149552	emetic						
MAXO_0000164	antigout therapy	CHEBI_35845	gout suppressant						
MAXO_0000643	antirheumatic agent therapy	CHEBI_35842	antirheumatic drug						
MAXO_0000645	acetylcholinesterase inhibitor	CHEBI:38462	EC 3.1.1.7 (acetylcholinesterase) inhibitor						
MAXO_0000210	cholinesteriase inhibitor	CHEBI:37733	EC 3.1.1.8 (cholinesterase) inhibitor						
MAXO_0000062	antineoplastic agent therapy	CHEBI:35610	antineoplastic agent						
MAXO_0000230	akylating agent therapy	CHEBI:22333	akylating agent						
MAXO_0000648	enzyme inhibitor agent therapy	CHEBI:23924	enzyme inhibitor						
MAXO_0000234	aromatase inhibitor agent therapy	CHEBI:50790	EC 1.14.14.14 (aromatase) inhibitor						
MAXO_0000245	antspasticity agent therapy	CHEBI:51371	muscle relaxant						
MAXO_0000572	hypoglycemic agent therapy	CHEBI:35526	hypoglycemic agent						
MAXO_0000649	hyperglycemic agent therapy	CHEBI:76916	hyper glycemic agent						
MAXO_0000181	cardiovascular agent therapy	CHEBI:35554	cardiovascular drug						
MAXO_0000185	antiarrythmic agent therapy	CHEBI:38070	anti-arrhythmia drug						
MAXO_0000650	antiatherogenic agent therapy	CHEBI:50855	antiatherogenic agent						
MAXO_0000651	antiatherosclerotic agent therapy	CHEBI:145947	antiaterosclerotic agent						
MAXO_0001025	adrenergic agent therapy	CHEBI:37962	adrenergic agent						
MAXO_0000182	alpha adrenergic agent therapy	CHEBI:48539	alpha-adrenergic drug						
MAXO_0000183	alpha adrenergic agonist therapy	CHEBI:48539	alpha-adrenergic agonist drug						
MAXO_0000184	alpha adrenergic antagonist therapy	CHEBI:37890	alpha-adrenergic antagonist drug						
MAXO_0000186	beta adrenergic agent therapy	CHEBI:48540	beta-adrenergic agent thearpy						
MAXO_0001026	beta-adrenergic agonist therapy	CHEBI:35522	beta-adrenergic agonist drug						
MAXO_0000187	beta-adrenergic antagonist therapy	CHEBI:35530	beta-adrenergic antagonist drug						
MAXO_0000434	calcium channel blocking agent	CHEBI:38215	calcium channel blocker						
MAXO_0000165	diuretic agent therapy	CHEBI:35498	diuretic						
MAXO_0000655	ACE1 inhibitor therapy	CHEBI:35457	EC 3.4.15.1 (peptidyl-dipeptidase A) inhibitor						
MAXO_0000656	ACE2 inhibitor therapy	CHEBI:147289	EC 3.4.17.23 (angiotensin-converting enzyme 2) inhibitor						
MAXO_0000653	angiotensin receptor blocker therapy	CHEBI:61016	angiotensin receptor antagonist						
MAXO_0000599	vasopressor agent therapy	CHEBI:137431	antihypotensive agent						
MAXO_0000260	central nervous system agent therapy	CHEBI:35470	central nervous system drug						
MAXO_0000261	amphetamine agent therapy	CHEBI:35338	amphetamines						
MAXO_0000167	anticonvulsant agent therapy	CHEBI:35623	anticonvulsant						
MAXO_0000205	calcium channel modifying agent therapy	CHEBI:38808	calcium channel modulator						
MAXO_0000206	GABA augmenting agent therapy	CHEBI:51374	GABA agent						
MAXO_0000644	molecular pathway modifying agent therapy	CHEBI:52206	biochemical role						
MAXO_0000436	NMDA receptor antagonist therapy	CHEBI:60643	NMDA receptor antagonist						
MAXO_0000208	sodium channel inhibitor therapy	CHEBI:38633	sodium channel blocker						
MAXO_0000657	metabotropic glutamate receptor antagonist therapy	CHEBI:63963	metabotropic glutamate receptor antagonist						
MAXO_0000661	NMDA receptor agonist therapy	CHEBI:64571	NMDA receptor agonist						
MAXO_0000662	AMPA recpeptor agonist therapy	CHEBI:64102	AMPA receptor agonist						
MAXO_0000663	AMPA receptor antagonist therapy	CHEBI:71014	AMPA receptor antagonist						
MAXO_0000157	antiparkinson agent therapy	CHEBI:48407	antiparkinson drug						
MAXO_0001022	psychotropic agent therapy	CHEBI:35471							
MAXO_0000265	dermatological agent therapy	CHEBI:50177	dermatologic drug						
MAXO_0000267	gastrointestinal agent therapy	CHEBI:55324	gastrointestinal drug						
MAXO_0000664	antidiarrheal agent therapy	CHEBI:55323	antidiarrhoeal drug						
MAXO_0000176	hematologic agent therapy	CHEBI:50248	hematologic agent						
MAXO_0000178	anticoagulant agent therapy	CHEBI:50249	anticoagulant						
MAXO_0000180	platelet aggregation inhibitor therapy	CHEBI:50427	platelet aggregation inhibitor						
MAXO_0000444	erythropoietin inhibitor therapy	CHEBI:91025	erythropoietin inhibitor						
MAXO_0000305	ophthalmic agent therapy	CHEBI:66981	ophthalmology drug						
MAXO_0000307	antiglaucoma agent therapy	CHEBI:39456	antiglaucoma drug						
