defined_class	defined_class_name	cell	cell_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010419	T cell count	CL:0000084	T cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of T cells present in a sample.			T cell count measurment|T-cell count
MAXO:0010420	natural killer cell count	CL:0000623	natural killer cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of natural killer cells present in a sample.			natural killer cell count measurement
MAXO:0010421		CL:0000980	plasmablast	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010422	immature B cell count	CL:0000816	immature B cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of immature B cells present in a sample.			immature B cell count measurement|immature B-lymphocyte count
MAXO:0010423	memory B cell count	CL:0000787	memory B cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of memory B cells present in a sample.			memory B cell count measurement|memory B-lymphocyte count
MAXO:0010424	na夫e B cell count	CL:0000788	na夫e B cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of na夫e B cells present in a sample.			na夫e B cell measurement| na夫e B-lymphocyte count
MAXO:0010425	transitional B cell count	CL:0000818	transitional stage B cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of transitional B cells present in a sample.			transitional B cell count measurement| transitional stage B-lymphocyte count
MAXO:0010426	CD4 positive helper T cell count	CL:0000492	CD4-positive helper T cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of CD4 positive helper T cells present in a sample.			CD4-positive helper T cell count measurement|CD4+ helper T cell count
MAXO:0010427	regulatory T cell count	CL:0000815	regulatory T cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of regulatory T cells present in a sample.			regulatory T cell count measurement| regulatory T lymphocyte count| Treg cell count| regulatory T-lymphocyte cell count|regulatory T cell count
MAXO:0010428	"central memory CD4-positive, alpha-beta T cell count"	CL:0000904	"central memory CD4-positive, alpha-beta T cell"	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	"The determination of the number of central memory CD4-positive, alpha-beta T cells present in a sample."			"central memory CD4-positive, alpha-beta T cell count measurement"
MAXO:0010429	memory T cell count	CL:0000813	memory T cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of memory T cells present in a sample.			memory T cell count measurment
MAXO:0010430	na夫e T cell count	CL:0000898	na夫e T cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of na夫e T cells present in a sample.			na夫e T cell count measurement
MAXO:0010431		CL:0000092	osteoclast	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010432		CL:0000576	monocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010433		CL:0002155	echinocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				Burr cell count
MAXO:0010434	plasma cell count	CL:0000786	plasma cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of plasma cells present in a sample.			plasma cell count measurement
MAXO:0010435		CL:0000560	band form neutrophil	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010436		CL:0000770	band form basophil	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010437		CL:0000556	megakaryocyte	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
MAXO:0010438	pro-B cell count	CL:0000826	pro-B cell	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z	The determination of the number of pro-B cells present in a sample.			pro-B cell count measurement
MAXO:0010439		CL:0000776	immature neutrophil	https://orcid.org/0000-0001-7941-2961	2020-04-27T20:39:14Z				
