?cls	?def
<http://purl.obolibrary.org/obo/MAXO_0000017>	"A therapy or action designed to prevent disease or ailment."
<http://purl.obolibrary.org/obo/MAXO_0000732>	"An evaluation or assessment by a health professional trained to help people who are ill or disabled learn to manage their daily activities."
<http://purl.obolibrary.org/obo/MAXO_0000164>	"Substance that may reduce inflammation, stimulate elimination of uric acid, or increase production of uric acid."
<http://purl.obolibrary.org/obo/MAXO_0000643>	"Treatment with a drug to alleviate rheumatoid arthritis and its symptoms."
<http://purl.obolibrary.org/obo/MAXO_0000630>	"Use of a compound that promotes the growth of new blood vessels from pre-existing vessels."
<http://purl.obolibrary.org/obo/MAXO_0000628>	"Use of an agent that modulates the physiologic angiogenesis process."
<http://purl.obolibrary.org/obo/MAXO_0000130>	"A diagnostic or therapeutic procedure in which an endoscope is inserted in a tubular organ to examine the structural architecture and/or remove abnormal tissues."
<http://purl.obolibrary.org/obo/MAXO_0001006>	"The determination of the number of red blood cells, white blood cells, and platelets in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000307>	"Use of a drug which can be used to prevent or alleviate glaucoma, a disease in which the optic nerve is damaged, resulting in progressive, irreversible loss of vision."
<http://purl.obolibrary.org/obo/MAXO_0000305>	"Use of a drug to treat eye conditions or eye diseases."
<http://purl.obolibrary.org/obo/MAXO_0000089>	"The restriction of energy (calorie) intake below the amount required for weight maintenance."
<http://purl.obolibrary.org/obo/MAXO_0000528>	"A test or diagnostic examination to assess the health status and well being of the fetus."
<http://purl.obolibrary.org/obo/MAXO_0000526>	"An appraisal or evaluation of a patient's condition by a clinician that is based on a physical exam, medical history, and the patient's account of symptoms."
<http://purl.obolibrary.org/obo/MAXO_0001005>	"An agent that binds to but does not activate an opioid receptor thereby blocking the actions of endogenous or exogenous opioid receptor agonists."
<http://purl.obolibrary.org/obo/MAXO_0000574>	"The process of gathering information regarding a person's medical history."
<http://purl.obolibrary.org/obo/MAXO_0000424>	"Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide amazingly clear and detailed pictures of internal organs and tissues. The technique is valuable for the diagnosis of many pathologic conditions, including cancer, heart and vascular disease, stroke, and joint and musculoskeletal disorders."
<http://purl.obolibrary.org/obo/MAXO_0000312>	"Use of an agent that exerts a physiologic effect on any anatomic entity that is part of the respiratory tract and airways."
<http://purl.obolibrary.org/obo/MAXO_0000749>	"The removal of T-cells from the donor's hematopoietic stem cell specimen prior to its transfusion into the recipient."
<http://purl.obolibrary.org/obo/MAXO_0000747>	"Transfer of multipotent hematopoietic stem cells, usually derived from bone marrow, peripheral blood, or umbilical cord blood into the body."
<http://purl.obolibrary.org/obo/MAXO_0000002>	"All manners of treatment, be they pharmaceuticals, invasive procedures, etc. to relieve illness and injury in attempts to bring the body back to its normal state."
<http://purl.obolibrary.org/obo/MAXO_0000213>	"A drug that acts as an inhibitor that interferes with the action of monoamine oxidase (EC 1.4.3.4)."
<http://purl.obolibrary.org/obo/MAXO_0000005>	"Any technology or method that aids in the visualization of any biological process, cell, tissue or organ for use in screening, diagnosis, surgical procedures or therapy."
<http://purl.obolibrary.org/obo/MAXO_0000717>	"Evaluation with a specialist who diagnose and treat all types of disease or impaired function of the brain, spinal cord, peripheral nerves, muscles and autonomic nervous system, as well as the blood vessels that relate to these structures in infants, children, and adolescents. They also have special competence in genetic and metabolic problems, malformation, retardation and other neurodevelopmental problems of childhood."
<http://purl.obolibrary.org/obo/MAXO_0000716>	"An evaluation a specialist who treats all types of disease or impaired function of the brain, spinal cord, peripheral nerves, muscles and autonomic nervous system, as well as the blood vessels that relate to these structures."
<http://purl.obolibrary.org/obo/MAXO_0000756>	"The injection of whole blood or a blood component directly into the bloodstream."
<http://purl.obolibrary.org/obo/MAXO_0000297>	"Use of an agent that suppresses immune function by one of several mechanisms of action."
<http://purl.obolibrary.org/obo/MAXO_0000295>	"Use of a drug that induces, enhances, restores or suppresses the host's immune system, or an agent that utilizes or is derived from a component of the immune system."
<http://purl.obolibrary.org/obo/MAXO_0000151>	"A medical recommendation to avoid a particular therapy, intervention, medication, or procedure."
<http://purl.obolibrary.org/obo/MAXO_0000763>	"Intake of nutrients intravenously as well as enterically."
<http://purl.obolibrary.org/obo/MAXO_0000762>	"Intake of nutrients intravenously."
<http://purl.obolibrary.org/obo/MAXO_0000510>	"Assisted ventilation by applying intermittent subatmospheric pressure around the thorax, abdomen, or airway and periodically expand the chest wall and inflate the lungs."
<http://purl.obolibrary.org/obo/MAXO_0000503>	"Any method of artificial breathing that employs mechanical or non-mechanical means to force the air into and out of the lungs. Artificial respiration or ventilation is used in individuals who have stopped breathing or have respiratory insufficiency to increase their intake of oxygen (O2) and excretion of carbon dioxide (CO2)."
<http://purl.obolibrary.org/obo/MAXO_0000009>	"Behavioral or regulatory nutritional interventions aim at modifying nutritional intake which have an impact on health outcomes."
<http://purl.obolibrary.org/obo/MAXO_0000500>	"A set of maneuvers or medical procedures performed to prevent and relieve airway obstruction. This ensures an open pathway for gas exchange between a patient's lungs and the atmosphere."
<http://purl.obolibrary.org/obo/MAXO_0000265>	"Use of a drug to treat or prevent skin disorders or for the routine care of skin."
<http://purl.obolibrary.org/obo/MAXO_0000058>	"Any substance introduced into a living organism with therapeutic or diagnostic purpose."
<http://purl.obolibrary.org/obo/MAXO_0000731>	"An evaluation or treatment by a professional who provides a range of diagnostic, technical, therapeutic, and support services in connection with health care. This is care provided by health care practitioners who are distinct providers from dentistry, nursing, medicine, and pharmacy health care professionals."
<http://purl.obolibrary.org/obo/MAXO_0000483>	"A procedure where a healthcare provider reviews a patient's medical history, examines the patient, and makes recommendations as to care and treatment."
<http://purl.obolibrary.org/obo/MAXO_0000443>	"Use of a recombinant therapeutic agent which is chemically identical to or similar to the endogenous glycoprotein erythropoietin (Epo). Epo promotes the differentiation and maturation of hematopoietic progenitors into erythrocytes; is a mitogen and a chemoattractant for endothelial cells; stimulates activated and differentiated B-cells and enhances B-cell immunoglobulin production and proliferation; and is hypoxia-inducible."
<http://purl.obolibrary.org/obo/MAXO_0000486>	"Bone lengthening by gradual mechanical distraction. An external fixation device produces the distraction across the bone plate. The technique was originally applied to long bones but in recent years the method has been adapted for use with mandibular implants in maxillofacial surgery."
<http://purl.obolibrary.org/obo/MAXO_0000484>	"Increase in the longest dimension of a bone to correct anatomical deficiencies, congenital, traumatic, or as a result of disease. The lengthening is not restricted to long bones. The usual surgical methods are internal fixation and distraction."
<http://purl.obolibrary.org/obo/MAXO_0000233>	"Treatment of cancer that utilizes antimetabolite substances to disrupt DNA, RNA, or protein synthesis."
<http://purl.obolibrary.org/obo/MAXO_0000062>	"Use of a substance that inhibits or prevents the proliferation of neoplasms."
<http://purl.obolibrary.org/obo/MAXO_0000454>	"Removal, separation, detachment, extirpation, or eradication of a body part, pathway, or function by chemical means."
<http://purl.obolibrary.org/obo/MAXO_0000452>	"The removal of material from the surface of an object by vaporization, chipping, or other erosive process."
<http://purl.obolibrary.org/obo/MAXO_0000686>	"An evaluation with an internist who specializes in diagnosis and treatment of diseases of the digestive organs including the stomach, bowels, liver and gallbladder. This specialist treats conditions such as abdominal pain, ulcers, diarrhea, cancer and jaundice and performs complex diagnostic and therapeutic procedures using endoscopes to visualize internal organs."
<http://purl.obolibrary.org/obo/MAXO_0000201>	"Use of an organonitrogen heterocyclic antibiotic whose structure contains a quinolone or quinolone-related skeleton."
<http://purl.obolibrary.org/obo/MAXO_0000629>	"Use of an agent that induces or stimulates the physiologic angiogenesis process."
<http://purl.obolibrary.org/obo/MAXO_0001000>	"A type of MRI that takes a series of images of an organ in quick succession and statistically analyzes the differences between the images."
<http://purl.obolibrary.org/obo/MAXO_0000675>	"An evaluation by a physician with special knowledge of the aging process and special skills in the diagnostic, therapeutic, preventive and rehabilitative aspects of illness in the elderly. This specialist cares for geriatric patients in the patient’s home, the office, long-term care settings such as nursing homes, and the hospital."
<http://purl.obolibrary.org/obo/MAXO_0000673>	"An evaluation by a physician who provides front-line health care that is accessible, high quality, comprehensive and continuous over time for people of all ages, life stages, backgrounds and conditions. The specialists care for individuals and for entire families, from birth through the end of life, including a broad range of preventive care; healthy lifestyle counseling; mental health care; care of acute illnesses; management of chronic diseases, including patients with multi-morbidity. When needed, they also provide referral and coordination of care with other specialists."
<http://purl.obolibrary.org/obo/MAXO_0000177>	"Treatment with a drug that promotes coagulation."
<http://purl.obolibrary.org/obo/MAXO_0000176>	"Use of a drug that acts on blood and blood-forming organs and those that affect the hemostatic system."
<http://purl.obolibrary.org/obo/MAXO_0000474>	"Implantation of a battery-powered device that is placed under the skin (typically in the left upper chest) with electrode wires that lead into the heart (typically lodging in the apex or septum of the right ventricle). The device can detect abnormal heart rhythms and deliver low-energy or high-energy shocks to interrupt malignant arrhythmia and thereby prevent sudden death."
<http://purl.obolibrary.org/obo/MAXO_0000468>	"A minimally invasive procedure that permits sampling of peritoneal fluid for cytopathologic analysis."
<http://purl.obolibrary.org/obo/MAXO_0000169>	"Use of a compound that has anti-inflammatory effects."
<http://purl.obolibrary.org/obo/MAXO_0000222>	"Treatment with medications to alleviate symptoms and occurrence of migraine headaches."
<http://purl.obolibrary.org/obo/MAXO_0000611>	"A type of lateral flow assay that qualitatively detect IgG and IgM antibodies of an infectious disease within human serum, plasma or whole blood in vitro."
<http://purl.obolibrary.org/obo/MAXO_0000612>	"A procedure using a paper-based platform for the detection and quantification of analytes in complex mixtures, where the sample is placed on a test device for clinical use."
<http://purl.obolibrary.org/obo/MAXO_0000191>	"A therapy using a drug to cause dilation of the blood vessels."
<http://purl.obolibrary.org/obo/MAXO_0000181>	"Use of a drug that affects the rate or intensity of cardiac contraction, blood vessel diameter or blood volume."
<http://purl.obolibrary.org/obo/MAXO_0000773>	"A recommendation to adhere to Dietary Approaches to Stop Hypertension (DASH) diet. The diet promotes consumption of vegetables and fruits, lean meat and dairy products, and the inclusion of micronutrients and the reduction of sodium in the diet to about 1500 mg/day."
<http://purl.obolibrary.org/obo/MAXO_0000113>	"Administration of nutritional support by means of a tube passed into the stomach."
<http://purl.obolibrary.org/obo/MAXO_0001018>	"Nutrition intake is the process of taking in of nutrients, especially by eating or drinking, considered in relation to the body’s dietary needs."
<http://purl.obolibrary.org/obo/MAXO_0000587>	"A time-triggered, pressure-limited, inverse-ratio mode of ventilation that provides continuous distending airway pressure with intermittent release phases"
<http://purl.obolibrary.org/obo/MAXO_0000509>	"A method of mechanical ventilation in which pressure is maintained to increase the volume of gas remaining in the lungs at the end of expiration, thus reducing the shunting of blood through the lungs and improving gas exchange."
<http://purl.obolibrary.org/obo/MAXO_0000767>	"Recommendation of a specific diet to adhere to prevent, relieve, or alleviate symptoms."
<http://purl.obolibrary.org/obo/MAXO_0000555>	"Detection of interleukin-1 alpha, a mediator of the inflammatory response."
<http://purl.obolibrary.org/obo/MAXO_0000553>	"A chemokine that can be objectively measured and serves as an indicator for the inflammatory response."
<http://purl.obolibrary.org/obo/MAXO_0000647>	"The use of synthetic or naturally-occurring chemicals for the treatment of diseases."
<http://purl.obolibrary.org/obo/MAXO_0000302>	"The salts or esters of salicylic acids, or salicylate esters of an organic acid. Some of these have analgesic, antipyretic, and anti-inflammatory activities by inhibiting prostaglandin synthesis."
<http://purl.obolibrary.org/obo/MAXO_0000776>	"A diet low in poorly absorbed, fermentable, short chain carbohydrates including fermentable oligosaccharides, disaccharides, monosaccharides, and polyols (FODMAPs) intended to reduce bloating, abdominal pain, excessive flatus and altered bowel habit."
<http://purl.obolibrary.org/obo/MAXO_0000538>	"A test for the presence of fetal fibronectin in the cervico-vaginal area that is used to predict preterm birth."
<http://purl.obolibrary.org/obo/MAXO_0000025>	"Care for patients with a progressive life-limiting disease with a prognosis of months or less."
<http://purl.obolibrary.org/obo/MAXO_0000021>	"An approach that improves the quality of life of patients and their families facing the problems associated with life-threatening illness, through the prevention and relief of suffering by means of early identification and impeccable assessment and treatment of pain and other problems, physical, psychosocial, and spiritual’."
<http://purl.obolibrary.org/obo/MAXO_0030011>	"Texture-modified foods and thickened drinks used to reduce the risks of choking and aspiration for individuals with oropharyngeal incoordination or dysphagia."
<http://purl.obolibrary.org/obo/MAXO_0000744>	"Treatment with estrogens or estrogen/progesterone after menopause or ovariectomy to prevent pathological effects of decreased estrogen production."
<http://purl.obolibrary.org/obo/MAXO_0000053>	"A clinical recommendation to avoid or refrain from certain environmental exposures in order to maintain health or ameliorate symptoms."
<http://purl.obolibrary.org/obo/MAXO_0000499>	"Any form of treatment that acts to improve or assist with respiratory function."
<http://purl.obolibrary.org/obo/MAXO_0000246>	"Use of a drug for the treatment and prophylaxis of infection with hepatitis virus(es)."
<http://purl.obolibrary.org/obo/MAXO_0000168>	"Treatment with a substance used in the prophylaxis or therapy of virus diseases."
<http://purl.obolibrary.org/obo/MAXO_0000703>	"An evaluation by a specialist focused on the medical and surgical care of the eyes. Ophthalmologists are the only physicians medically trained to manage the complete range of the eye and vision care. They can prescribe glasses and contact lenses, dispense medications, diagnose and treat eye conditions and diseases and perform surgeries."
<http://purl.obolibrary.org/obo/MAXO_0000015>	"A type of treatment that uses substances derived from or made by living organisms to treat disease; this includes both naturally occurring and synthetic products."
<http://purl.obolibrary.org/obo/MAXO_0000712>	"Evaluation by a specialist who treats patients with disorders or disabilities in the muscles, bones, and nervous system, including neck or back pain, sports and work injuries, stroke, brain injury, spinal cord injury, spasticity, and any other disability or disorder that affects function."
<http://purl.obolibrary.org/obo/MAXO_0000665>	"An evaluation by healthcare provider who is a specialist in a particular medical area."
<http://purl.obolibrary.org/obo/MAXO_0000292>	"Use of a compound which inhibits or antagonizes the biosynthesis or actions of androgens."
<http://purl.obolibrary.org/obo/MAXO_0000467>	"Washing out the bronchi and alveoli by flushing with a fluid."
<http://purl.obolibrary.org/obo/MAXO_0000460>	"Washing out a hollow organ by flushing with a fluid."
<http://purl.obolibrary.org/obo/MAXO_0000214>	"Treatment with a medication that increases the extracellular level of the neurotransmitter serotonin (5-HT) and norepinephrine by inhibiting their reuptake into the presynaptic cell."
<http://purl.obolibrary.org/obo/MAXO_0000160>	"Treatment with a mood-stimulating drug used primarily in the treatment of affective disorders and related conditions."
<http://purl.obolibrary.org/obo/MAXO_0000748>	"The transplantation of fecal bacteria, via enema, colonoscopy, or other method, from a healthy individual to a recipient."
<http://purl.obolibrary.org/obo/MAXO_0000260>	"Treatment with drugs producing both physiological and psychological effects through a variety of mechanisms involving the central nervous system."
<http://purl.obolibrary.org/obo/MAXO_0000688>	"An evaluation by an internist with additional training who specializes in diseases of the blood, spleen and lymph. This specialist treats conditions such as anemia, clotting disorders, sickle cell disease, hemophilia, leukemia and lymphoma."
<http://purl.obolibrary.org/obo/MAXO_0000728>	"A technique in which sound waves are sent out by an ultrasound probe that has been inserted in the vagina and a computer uses the ultrasound echoes to create an image of the female genital tract. The test can be performed to evaluate women with infertility problems, abnormal bleeding, sources of unexplained pain, congenital malformations of the uterus and ovaries, and possible tumors and infection."
<http://purl.obolibrary.org/obo/MAXO_0000481>	"Orthotic services provide prescription insoles, braces, splints, callipers, footwear, spinal jackets and helmets which help people recover from or avoid injury, or live with lifelong conditions."
<http://purl.obolibrary.org/obo/MAXO_0000692>	"An evaluation by an internist who treats disorders of the kidney, high blood pressure, fluid and mineral balance, and dialysis of body wastes when the kidneys do not function. This specialist consults with surgeons about kidney transplantation."
<http://purl.obolibrary.org/obo/MAXO_0000656>	"Use of a drug that inhibits angiotensin-converting enzyme (ACE) 2, an enzyme that catalyzes the conversion of angiotensin I to angiotensin II."
<http://purl.obolibrary.org/obo/MAXO_0000652>	"Use of a drug that inhibits angiotensin-converting enzyme (ACE), an enzyme that catalyzes the conversion of angiotensin I to angiotensin II. Inhibition of ACE results in a reduction in angiotensin II and angiotensin II-induced aldosterone secretion, causing vasodilation and natriuresis."
<http://purl.obolibrary.org/obo/MAXO_0000158>	"Use of a substance used to treat or prevent parasitic infections."
<http://purl.obolibrary.org/obo/MAXO_0000325>	"Use of a substance for the prophylaxis or therapy of infectious diseases."
<http://purl.obolibrary.org/obo/MAXO_0000624>	"An in-depth evaluation of an individual's food and nutrient intake, lifestyle, and medical history designed to help the individual either maintain their health status or attain a healthier status."
<http://purl.obolibrary.org/obo/MAXO_0000623>	"Nutrition intervention for nutrition counseling is a supportive process, characterized by a collaborative counselor–patient/client relationship to establish food, nutrition and physical activity priorities, goals, and individualized action plans that acknowledge and foster responsibility for self-care to treat an existing condition and promote health."
<http://purl.obolibrary.org/obo/MAXO_0000187>	"An agent that binds to but does not activate beta-adrenergic receptors thereby blocking the actions of endogenous or exogenous beta-adrenergic agonists."
<http://purl.obolibrary.org/obo/MAXO_0000745>	"Techniques for analysis of chromosomal and subchromosomal properties and structures, such as those to diagnose, classify, screen for, or manage genetic diseases and abnormalities."
<http://purl.obolibrary.org/obo/MAXO_0000540>	"An ultrasonic examination of the fetus in the late first trimester to measure the clear space at the back of the fetal neck to assess risk of genetic or cardiac abnormalities."
<http://purl.obolibrary.org/obo/MAXO_0000670>	"An evaluation by a colon and rectal surgeon who diagnoses and treats various diseases of the small intestine, colon, rectum, anal canal and perianal area including the organs and tissues related with primary intestinal diseases (liver, urinary and female reproductive system). This specialist treats conditions such as hemorrhoids, fissures (painful tears in the anal lining), abscesses and fistulas (infections located around the anus and rectum). A colon and rectal surgeon diagnoses and treats problems of the intestine and colon such as cancer, polyps (precancerous growths) and inflammatory conditions."
<http://purl.obolibrary.org/obo/MAXO_0000126>	"The use of any device, marker, or other means for the purpose of detecting the presence of a tumor, usually before there are any symptoms."
<http://purl.obolibrary.org/obo/MAXO_0000124>	"The use of any device, marker, or other means for the purpose of detecting the presence of disease, usually in asymptomatic individuals."
<http://purl.obolibrary.org/obo/MAXO_0000567>	"A quantitative measurement for assessing the amount of glucose present in a blood sample."
<http://purl.obolibrary.org/obo/MAXO_0000142>	"Examination under a microscope of cells found in sputum (mucus and other matter brought up from the lungs by coughing). The test checks for abnormal cells, such as lung cancer cells."
<http://purl.obolibrary.org/obo/MAXO_0000077>	"The act of receiving professional guidance in resolving personal conflicts and emotional problems."
<http://purl.obolibrary.org/obo/MAXO_0000272>	"Any one of the substituted benzimidazole compounds with anti-ulcer activity. A proton pump inhibitor is orally administered in the neutrally charged, inactive form and, upon entering the acidic environment of the parietal cell, gets protonated and converted into its active form. The active form will covalently and irreversibly bind to the proton pump, the H+/K+-ATPase, located on the surface of parietal cells. This leads to an inhibition of the transport of hydrogen ions, in exchange for potassium ions, into the gastric lumen and results in an inhibition of gastric acid secretion."
<http://purl.obolibrary.org/obo/MAXO_0000453>	"Removal, separation, detachment, extirpation, or eradication of a body part, pathway, or function by light amplification by stimulated emission of radiation."
<http://purl.obolibrary.org/obo/MAXO_0000140>	"A  procedure to examine and define cellular anatomy or function. The test results are often used by a clinician to diagnose disease or disordered function."
<http://purl.obolibrary.org/obo/MAXO_0000006>	"Any procedure that involves testing or manipulating a sample of blood, urine, or other body substance in a laboratory setting for diagnosis, treatment, or therapy."
<http://purl.obolibrary.org/obo/MAXO_0000568>	"Glucose Plasma Concentration (GPC) measurement is an essential diagnostic modality for different types of carbohydrate metabolism derangements including diabetes mellitus."
<http://purl.obolibrary.org/obo/MAXO_0000315>	"Use of a drug designed to prevent leukotriene synthesis or activity by blocking binding at the receptor level."
<http://purl.obolibrary.org/obo/MAXO_0000529>	"Testing of fetal DNA during pregnancy to determine if the fetus has chromosomal aberrations, fetal aneuploidy, or other detectable genetic disorders."
<http://purl.obolibrary.org/obo/MAXO_0000582>	"A quantitative measurement of the amount of an electrolyte present in urine or serum."
<http://purl.obolibrary.org/obo/MAXO_0000566>	"A clinical laboratory procedure designed for the quantification of an organic or inorganic chemical within a biological specimen required for diagnostics or monitoring of treatments."
<http://purl.obolibrary.org/obo/MAXO_0000492>	"The rate of breathing (inhalation and exhalation) measured within in a unit time, usually expressed as breaths per minute."
<http://purl.obolibrary.org/obo/MAXO_0000757>	"Any form of treatment that is introduced into the body via a blood vessel, a muscle, or the spinal cord."
<http://purl.obolibrary.org/obo/MAXO_0000504>	"Surgical formation of an opening into the trachea through the neck, or the opening so created."
<http://purl.obolibrary.org/obo/MAXO_0000004>	"A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery."
<http://purl.obolibrary.org/obo/MAXO_0000065>	"A medical recommendation of sustained exercise that places an increased oxygen demand on the cardiovascular system and promotes an increased efficiency of the body's use of oxygen."
<http://purl.obolibrary.org/obo/MAXO_0000084>	"Continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; contemplation of spiritual matters."
<http://purl.obolibrary.org/obo/MAXO_0000013>	"Complementary and alternative medicine (CAM) or “complementary health approaches” are a group of diverse medical and health care practices and products that are not presently considered to be part of conventional medicine."
<http://purl.obolibrary.org/obo/MAXO_0000699>	"An evaluation or consultation by a diplomate certified in Laboratory Genetics and Genomics who directs and interprets both clinical cytogenetic and molecular genetic analyses relevant to the diagnosis and management of human genetic disease. This specialist acts as a consultant in laboratory diagnoses for a broad range of molecular and chromosomal-based disorders, including both inherited and acquired conditions."
<http://purl.obolibrary.org/obo/MAXO_0000259>	"A synthetic or animal-derived form of insulin used in the treatment of diabetes mellitus. Therapeutic insulin is formulated to be short-, intermediate- and long-acting in order to individualize an insulin regimen according to individual differences in glucose and insulin metabolism. Therapeutic insulin may be derived from porcine, bovine or recombinant sources. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats and has anabolic effects on many types of tissues."
<http://purl.obolibrary.org/obo/MAXO_0000572>	"Use of a drug that lower the level of glucose in the blood."
<http://purl.obolibrary.org/obo/MAXO_0000550>	"A characteristic that can be objectively measured and serves as an indicator for the inflammatory response.  It could be used to indicate the normal inflammatory processes, pathogenic processes, state of health or disease, the risk for disease development and/or prognosis, or responsiveness to a particular therapeutic intervention."
<http://purl.obolibrary.org/obo/MAXO_0000725>	"Assessment by a specialist who has expertise in the diagnosis and preoperative, operative, and postoperative management of patient care."
<http://purl.obolibrary.org/obo/MAXO_0000771>	"A dietary recommendation to restrict the amount of carbohydrates consumed."
<http://purl.obolibrary.org/obo/MAXO_0000770>	"Dietary recommendation to closely control the amount of carbohydrates consumed."
<http://purl.obolibrary.org/obo/MAXO_0000227>	"Use of a treat or prevent infections caused by Mycobacteria, a genus of actinobacteria."
<http://purl.obolibrary.org/obo/MAXO_0000020>	"A behavioral modification or implementation of a behavior designed to prevent disease or ailment."
<http://purl.obolibrary.org/obo/MAXO_0000448>	"Surgical removal (cutting out or off) without replacement of all of a body part or structure."
<http://purl.obolibrary.org/obo/MAXO_0000447>	"The surgical removal (cutting out) of part or all of a structure or organ."
<http://purl.obolibrary.org/obo/MAXO_0000494>	"Measurement of the pressure on the walls of the vessels as blood moves around the body. Systolic blood pressure is the pressure when the heart beats – while the heart muscle is contracting (squeezing) and pumping oxygen-rich blood into the blood vessels. Diastolic blood pressure is the pressure on the blood vessels when the heart muscle relaxes. The diastolic pressure is always lower than the systolic pressure."
<http://purl.obolibrary.org/obo/MAXO_0000487>	"A measurement performed in a clinical setting using clinician's observations and instrument data to inform patient care and research."
<http://purl.obolibrary.org/obo/MAXO_0000493>	"Procedure to evaluate the structure and/or function of the cardiovascular system."
<http://purl.obolibrary.org/obo/MAXO_0000241>	"An agent used to as a treament of ectoparasitic infestations."
<http://purl.obolibrary.org/obo/MAXO_0000141>	"The collecting of secretions and superficial cells of the body of uterus, cervix, and ovaries; examined with a microscope to detect any abnormal cells."
<http://purl.obolibrary.org/obo/MAXO_0000669>	"An evaluation by an anesthesiologist who specializes in Pediatric Anesthesiology. This specialist provides anesthesia for neonates, infants, children and adolescents undergoing surgical, diagnostic or therapeutic procedures as well as appropriate pre- and post-operative care, advanced life support, and acute pain management."
<http://purl.obolibrary.org/obo/MAXO_0000667>	"An evaluation by a physician who provides anesthesia for patients undergoing surgical, obstetric, diagnostic or therapeutic procedures while monitoring the patient's condition and supporting vital organ functions. The anesthesiologist also diagnoses and treats acute, chronic and/or cancer pain as well as provides resuscitation and medical management for patients with critical illnesses and severe injuries."
<http://purl.obolibrary.org/obo/MAXO_0000462>	"Therapy where a substantial part of the body is immersed in cold water to produce a variety of therapeutic effects."
<http://purl.obolibrary.org/obo/MAXO_0000459>	"Thermal hydrotherapy uses external or internal use of water in any of its forms (water, ice, steam) at temperatures above or below room temperature for health promotion or treatment of various diseases with various temperatures, pressure, duration, and site."
<http://purl.obolibrary.org/obo/MAXO_0000637>	"Treatment with an antiviral agent that destroys or inhibits the replication of the herpes simplex virus."
<http://purl.obolibrary.org/obo/MAXO_0000247>	"Use of any drug that counters herpes."
