?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0006284>	"Future brain vesicle that gives rise to telencephalic ventricle/lateral ventricles and 3rd ventricle."	"EMAPA:16521 SCTID:361480006 TAO:0001259 ZFA:0001259 EHDAA:1356 VHOG:0000644 EHDAA2:0001571 DHBA:10595"
<http://purl.obolibrary.org/obo/CHEBI_18367>	"A phosphate ion that is the conjugate base of hydrogenphosphate."	"KEGG:C00009"
<http://purl.obolibrary.org/obo/MAXO_0000754>	"The determination of the amount of degree, quality or condition of cells present in a sample."	"NCIT:C111153"
<http://purl.obolibrary.org/obo/CHEBI_49159>	"A drug designed to prevent leukotriene synthesis or activity by blocking binding at the receptor level."	
<http://purl.obolibrary.org/obo/UBERON_0002387>	"Distal portion of the hind limb, including tarsal region, metatarsal region and digits."	"MESH:D005528 EMAPA:17459 VHOG:0000350 EFO:0003065 EHDAA2:0000546 SCTID:302545001 GAID:40 MA:0000044 CALOHA:TS-0377 BTO:0000476 NCIT:C32622 galen:Foot FMA:9664 Wikipedia:Pes_(anatomy)"
<http://purl.obolibrary.org/obo/UBERON_0035775>	"The region between the mandible and the hyoid bone that contains the submandibular and sublingual glands, suprahyoid muscles, submandibular ganglion, and lingual artery."	"FMA:57779 Wikipedia:Submandibular_triangle"
<http://purl.obolibrary.org/obo/UBERON_0008266>	"The fibrous connective tissue that surrounds the root of a tooth, separating it from and attaching it to the alveolar bone. It extends from the base of the gingival mucosa to the fundus of the bony socket, and its main function is to hold the tooth in its socket[BTO]."	"MA:0002467 BTO:0001020 GAID:1259 Wikipedia:Periodontal_fiber SCTID:245775004 EMAPA:35679 FMA:56665 CALOHA:TS-0763"
<http://purl.obolibrary.org/obo/GO_0002690>	"Any process that activates or increases the frequency, rate, or extent of leukocyte chemotaxis."	
<http://purl.obolibrary.org/obo/FOODON_03460263>	"A fat or oil derived from vegetable material"@en	"langual:H0263"
<http://purl.obolibrary.org/obo/UBERON_0010046>	"The sum total of mesenchymal tissue in the pharyngeal arch region. Pharyngeal mesenchyme is undifferentiated, loose connective tissue derived mostly from mesoderm, and also contains ectodermally derived neural crest cells."	"EHDAA2:0001459 EMAPA:16550 XAO:0004524"
<http://purl.obolibrary.org/obo/CHEBI_36078>		
<http://purl.obolibrary.org/obo/MAXO_0001585>	"Eye drops used to lubricate dry eyes and keep moisture on the outer surface of eyes."	
<http://purl.obolibrary.org/obo/MAXO_0000896>		
<http://purl.obolibrary.org/obo/CHEBI_139592>	"An alpha-hydroxy ketone in which the carbonyl group and the hydroxy group are linked by a carbon bearing two organyl groups."	
<http://purl.obolibrary.org/obo/MAXO_0010130>	"Use of a compound or agent to block ovulation and prevent occurance of pregnancy."	
<http://purl.obolibrary.org/obo/MAXO_0000919>	"An initial evaluation by a professional trained and qualified to provide nutritional services at individual, institutional and community levels in term of assessing nutritional needs."	"NCIT:C28248"
<http://purl.obolibrary.org/obo/MAXO_0001249>	"The determination of the amount of vitamin C present in the sample."	
<http://purl.obolibrary.org/obo/UBERON_0003703>	"Passages external to the liver for the conveyance of bile. These include the common bile duct and the common hepatic duct."	"NCIT:C32573 MESH:D017734 SCTID:276158002 MA:0002659 GAID:281 FMA:14678"
<http://purl.obolibrary.org/obo/CHEBI_48873>	"Any drug that binds to but does not activate cholinergic receptors, thereby blocking the actions of acetylcholine or cholinergic agonists."	
<http://purl.obolibrary.org/obo/UBERON_0002333>	"An arterial trunk which is continuous with the heart and branches into the pulmonary arteries."	"FMA:8612 EMAPA:17015 galen:PulmonaryTrunk NCIT:C116918 EHDAA2:0001576 MA:0002033 EHDAA:9831 VHOG:0001134"
<http://purl.obolibrary.org/obo/UBERON_0010709>	"Appendage girdle complex that when present, encompasses the pelvic appendicular skeleton and the pelvic girdle."	"VSAO:0000215 FMA:7184 SCTID:416631005"
<http://purl.obolibrary.org/obo/GO_0003353>	"Any process that increases the rate, frequency, or extent of cilium movement, the directed, self-propelled movement of a cilium."	
<http://purl.obolibrary.org/obo/UBERON_0002120>	"In mammals, the pronephros is the first of the three embryonic kidneys to be established and exists only transiently. In lower vertebrates such as fish and amphibia, the pronephros is the fully functional embryonic kidney and is indispensible for larval life[GO]."	"EMAPA:16579 EHDAA2:0001570 Wikipedia:Pronephros TAO:0000151 FMA:72170 MIAA:0000117 EHDAA:1017 SCTID:308804007 MAT:0000117 VHOG:0000037 BTO:0001541 AAO:0011089 ZFA:0000151 EFO:0000927 NCIT:C34280 XAO:0002000"
<http://purl.obolibrary.org/obo/UBERON_0000101>	"A lung lobe is one of the rounded projections that compose the lung[GO]."	"NCIT:C34021 galen:LobeOfLung EMAPA:36281 MA:0003098 FMA:7311 SCTID:245524004"
<http://purl.obolibrary.org/obo/MAXO_0001543>	"Treatment with a recombinant human parathyroid hormone to stimulate bone formation, increase bone mass, and reduce risk of vertebral and nonbertebral fractures."	
<http://purl.obolibrary.org/obo/UBERON_0006210>		"EMAPA:16893 EHDAA:3217 EHDAA2:0000179"
<http://purl.obolibrary.org/obo/CL_0000556>	"A large hematopoietic cell (50 to 100 micron) with a lobated nucleus. Once mature, this cell undergoes multiple rounds of endomitosis and cytoplasmic restructuring to allow platelet formation and release."	"CALOHA:TS-0611 FMA:83555 BTO:0000843"
<http://purl.obolibrary.org/obo/UBERON_0009745>	"The dense rope-like structures of lymphatic tissue located between the medullary sinuses in the medulla of a lymph node."	
<http://purl.obolibrary.org/obo/MAXO_0001611>	"Examining chromosomes to identify abnormalities."	
<http://purl.obolibrary.org/obo/CHEBI_15841>	"A peptide containing ten or more amino acid residues."	"KEGG:C00403"
<http://purl.obolibrary.org/obo/GO_0008219>	"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."	
<http://purl.obolibrary.org/obo/NCBITaxon_89593>		"GC_ID:1"
<http://purl.obolibrary.org/obo/CHEBI_50903>	"A role played by a chemical compound which is known to  induce a process of carcinogenesis  by corrupting  normal cellular pathways, leading to the acquistion of tumoral capabilities."	
<http://purl.obolibrary.org/obo/PR_000005388>	"A protein that is a translation product of the human CGA gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/FOODON_03400172>	"Food product that is 1) ready or nearly ready for consumption; 2) usually a composite of several foods or ingredients that often belong to distinct product types; 3) usually formulated, mixed and partially or fully cooked. Prepared foods often undergo several of the processes listed in *F. EXTENT OF HEAT TREATMENT* and *H. TREATMENT APPLIED*; these factors should be carefully considered in indexing. The classification of prepared food products emphasizes consumption characteristics. [FDA CFSAN 1995]"@en	"http://www.langual.org/langual_thesaurus.asp?termid=A0172"
<http://purl.obolibrary.org/obo/MAXO_0000602>	"A therapeutic procedure used in patients with kidney failure.  It involves the extracorporeal removal of harmful wastes and fluids from the blood using a dialysis machine.  Following the dialysis, the blood is returned to the body."	"NCIT:C15248"
<http://purl.obolibrary.org/obo/UBERON_0002522>	"The middle layer of an artery or vein. [WP,unvetted]."	"SCTID:61695000 BTO:0002011 MA:0002855 MESH:D017540 NCIT:C33821 GAID:170 EMAPA:36298 Wikipedia:Tunica_media FMA:55590"
<http://purl.obolibrary.org/obo/UBERON_0001839>	"A system of fluid passages in the inner ear, including both the cochlea, which is part of the auditory system, and the vestibular system, which provides the sense of balance. The bony labyrinth, or osseous labyrinth, is the network of passages with bony walls lined with periosteum. The bony labyrinth is lined with the membranous labyrinth. There is a layer of perilymph between them. The three parts of the bony labyrinth are the vestibule of the ear, the semicircular canals, and the cochlea. The vestibular system is the region of the inner ear where the semicircular canals converge, close to the cochlea (the hearing organ). The vestibular system works with the visual system to keep objects in focus when the head is moving. Joint and muscle receptors also are important in maintaining balance. The brain receives, interprets, and processes the information from these systems that control our balance. [WP,unvetted]."	"CALOHA:TS-2080 BTO:0004685 AAO:0011078 SCTID:279727008 VHOG:0001219 XAO:0000193 Wikipedia:Bony_labyrinth NCIT:C33227 EMAPA:36580 MA:0000238 EV:0100362 FMA:60179"
<http://purl.obolibrary.org/obo/HP_0011122>	"Any abnormality of the physiological function of the skin."	"UMLS:C4023527"
<http://purl.obolibrary.org/obo/UBERON_0011595>	"A subdivision of the head that corresponds to the jaw skeleton, containing both soft tissue, skeleton and teeth (when present). The jaw region is divided into upper and lower regions."	"NCIT:C114916 EMAPA:32905"
<http://purl.obolibrary.org/obo/UBERON_0011134>	"Joint in which the articulating bones or cartilages are connected by ligaments or fibrocartilage without an intervening synovial cavity. Examples: sagittal suture, inferior tibiofibular syndesmosis, costochondral joint, pubic symphysis."	"FMA:7491"
<http://purl.obolibrary.org/obo/MAXO_0009081>	"Surgery using incisional, excisional, or use of local/regional flaps to repair burned areas."	
<http://purl.obolibrary.org/obo/UBERON_0001780>	"The any of the paired peripheral nerves formed by the union of the dorsal and ventral spinal roots from each spinal cord segment[MP,modified]."	"EMAPA:16989 AAO:0011101 EHDAA2:0001898 GAID:841 neuronames:1228 FMA:5858 Wikipedia:Spinal_nerve SCTID:361099009 NCIT:C12792 MA:0000233 BAMS:spin MESH:D013127 VHOG:0000824 BTO:0000870 XAO:0003101"
<http://purl.obolibrary.org/obo/MAXO_0001193>	"Inspection of upper digestive tract using an endoscope."	
<http://purl.obolibrary.org/obo/CHEBI_16716>	"A six-carbon aromatic annulene in which each carbon atom donates one of its two 2p electrons into a delocalised pi system. A toxic, flammable liquid byproduct of coal distillation, it is used as an industrial solvent. Benzene is a carcinogen that also damages bone marrow and the central nervous system."	"HMDB:HMDB0001505 KEGG:C01407 PDBeChem:BNZ Wikipedia:Benzene"
<http://purl.obolibrary.org/obo/MAXO_0000547>	"A procedure by which biological material is obtained from a subject for testing, diagnostic, treatment, or research purposes."	"NCIT:C70700"
<http://purl.obolibrary.org/obo/PATO_0000460>	"A quality inhering in a bearer by virtue of the bearer's deviation from normal or average."	
<http://purl.obolibrary.org/obo/CHEBI_33231>	"A substance that kills or slows the growth of Mycobacterium tuberculosis and is used in the treatment of tuberculosis."	
<http://purl.obolibrary.org/obo/GO_0099503>	"A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space."	
<http://purl.obolibrary.org/obo/MAXO_0000071>	"A clinical recommendation to avoid or refrain from unnecessary chemical exposure."	
<http://purl.obolibrary.org/obo/CHEBI_22198>		
<http://purl.obolibrary.org/obo/UBERON_0005258>	"Mesenchyme that is part of a developing forelimb stylopod [Automatically generated definition]."	"VHOG:0000505 EMAPA:17426 EHDAA2:0002114"
<http://purl.obolibrary.org/obo/CHEBI_2571>	"An  alcohol derived from an aliphatic compound."	"KEGG:C02525"
<http://purl.obolibrary.org/obo/CHEBI_36844>	"A hydroxy steroid carrying a hydroxy substituent at position 7."	
<http://purl.obolibrary.org/obo/MAXO_0000638>	"Treatment with an antiviral agent that destroys or inhibits the replication of the herpes simplex virus-1."	"CHEBI:64953"
<http://purl.obolibrary.org/obo/FOODON_00002017>		
<http://purl.obolibrary.org/obo/CL_0000057>	"A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped."	"BTO:0000452 VHOG:0001482 FMA:63877 CALOHA:TS-0362 NCIT:C12482"
<http://purl.obolibrary.org/obo/CHEBI_17126>	"An amino-acid betaine that is butanoate substituted with a hydroxy group at position C-3 and a trimethylammonium group at C-4."	"Patent:US4315944 DrugBank:DB02648 Patent:US4255449 MetaCyc:DL-CARNITINE KEGG:C00487 Wikipedia:Carnitine"
<http://purl.obolibrary.org/obo/MAXO_0000112>	"Addition of food antioxidant to a diet for adequate and complete nutrition."	"NCIT:C67025"
<http://purl.obolibrary.org/obo/MAXO_0001299>	"A surgery that fixes or mends pericardium."	
<http://purl.obolibrary.org/obo/MAXO_0001504>	"Any surgical procedure conducted on the alimentary part of gastrointestinal system."	
<http://purl.obolibrary.org/obo/CHEBI_51270>	"Compounds containing a tetracene skeleton."	
<http://purl.obolibrary.org/obo/OBI_0000873>	"a specimen that was taken from a live organism"	
<http://purl.obolibrary.org/obo/CL_0000232>	"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen."	"FMA:81100 CALOHA:TS-0290 BTO:0000424"
<http://purl.obolibrary.org/obo/CHEBI_23849>	"Any terpenoid derived from a diterpene. The term includes compounds in which the C20 skeleton of the parent diterpene has been rearranged or modified by the removal of one or more skeletal atoms (generally methyl groups)."	
<http://purl.obolibrary.org/obo/MAXO_0000664>	"Treatment with an agent that is used to prevent or inhibit diarrhea."	"CHEBI:55323"
<http://purl.obolibrary.org/obo/CL_0000211>	"A cell whose function is determined by the generation or the reception of an electric signal."	
<http://purl.obolibrary.org/obo/UBERON_0006222>	"The foremost region of the future forebrain that develops into the diencephalon."	"EHDAA:844 EHDAA2:0000600 RETIRED_EHDAA2:0000386 ZFA:0000574 EFO:0003442 EMAPA:16514 TAO:0000574"
<http://purl.obolibrary.org/obo/CHEBI_67200>	"A provitamin that can be converted into vitamin A by enzymes from animal tissues."	
<http://purl.obolibrary.org/obo/MAXO_0000015>	"A type of treatment that uses substances derived from or made by living organisms to treat disease; this includes both naturally occurring and synthetic products."	"NCIT:C15187"
<http://purl.obolibrary.org/obo/MAXO_0000600>	"Treatments that substitute for the blood-filtering function of the kidneys."	"MeSH:D017582 NCIT:C126400"
<http://purl.obolibrary.org/obo/MAXO_0000241>	"An agent used to as a treament of ectoparasitic infestations."	"CHEBI:38956"
<http://purl.obolibrary.org/obo/MAXO_0000020>	"A behavioral modification or implementation of a behavior designed to prevent disease or ailment."	
<http://purl.obolibrary.org/obo/UBERON_0003924>	"Pancreatic bud that gives rise to the major pancreatic duct."	"TAO:0001369 EFO:0003464 EHDAA2:0001389 XAO:0001103 SCTID:361437002 AAO:0011111 EMAPA:17256 Wikipedia:Pancreatic_bud ZFA:0001369 VHOG:0001429"
<http://purl.obolibrary.org/obo/CHEBI_15724>	"A tertiary amine oxide resulting from the oxidation of the amino group of trimethylamine."	"PDBeChem:TMO MetaCyc:TRIMENTHLAMINE-N-O Wikipedia:Trimethylamine_oxide KEGG:C01104 HMDB:HMDB0000925"
<http://purl.obolibrary.org/obo/MAXO_0001368>	"A determination of the number of helper T cell in a blood sample."	
<http://purl.obolibrary.org/obo/FOODON_03304497>		"https://bioregistry.io/reference/siren:F4497"
<http://purl.obolibrary.org/obo/MAXO_0000679>	"An assessment with a specialist who has expertise in the diagnosis and management of clinical conditions that occur during sleep, that disturb sleep, or that are affected by disturbances in the wake-sleep cycle. This specialist is skilled in the analysis and interpretation of comprehensive polysomnography, and well versed in emerging research and management of a sleep laboratory."	
<http://purl.obolibrary.org/obo/GO_0030851>	"The process in which a myeloid precursor cell acquires the specialized features of a granulocyte. Granulocytes are a class of leukocytes characterized by the presence of granules in their cytoplasm. These cells are active in allergic immune reactions such as arthritic inflammation and rashes. This class includes basophils, eosinophils and neutrophils."	
<http://purl.obolibrary.org/obo/MAXO_0000501>	"Removal of an endotracheal tube from the patient."	"NCIT:C50819 MeSH:D060666"
<http://purl.obolibrary.org/obo/GO_0061448>	"The progression of a connective tissue over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/GO_0097708>	"Any vesicle that is part of the intracellular region."	
<http://purl.obolibrary.org/obo/UBERON_0002513>	"Replacement bone that forms within cartilage."	"XAO:0004018 FMA:24321 AAO:0010776 AEO:0000083 EHDAA2:0003083 BTO:0002157 TAO:0001591 VSAO:0000145 ZFA:0001591"
<http://purl.obolibrary.org/obo/UBERON_0001769>	"The adjustable membrane, composed of the stroma and pigmented epithelium, located just in front of the crystalline lens within the eye."	"MA:0000273 Wikipedia:Iris_(anatomy) BTO:0000653 NCIT:C12737 EFO:0004245 VHOG:0000101 TAO:0001238 GAID:917 MESH:D007498 XAO:0000185 AAO:0010347 EMAPA:19154 FMA:58235 ZFA:0001238 EV:0100345 SCTID:181164000 CALOHA:TS-0491"
<http://purl.obolibrary.org/obo/MAXO_0035010>	"A direct appraisal by a professional who is an expert in premature babies or newborns with high-risk or complex health conditions. The physician performs a physical exam and takes medical history."	
<http://purl.obolibrary.org/obo/FOODON_03411367>	"*Vicia faba*, the Broad Bean, is a species of bean (*Fabaceae*) native to north Africa and southwest Asia, and extensively cultivated elsewhere. A variety is provisionally recognized: Vicia faba var. equina Pers. - Horse Bean.  Although usually classified in the same genus Vicia as the vetches, some botanists treat it in a separate monotypic genus *Faba*. The term fava bean (from the Italian fava, meaning \"broad bean\") is usually used in English speaking countries such as the US, however the term broad bean is the most common name in the UK."@en	"PLANTS:VIFA http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?300661 http://eol.org/pages/4277 http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26339 http://www.langual.org/langual_thesaurus.asp?termid=B1367 MANSFELD:30416 http://purl.obolibrary.org/obo/NCBITaxon_3906"
<http://purl.obolibrary.org/obo/GO_0042588>	"A membrane-bounded, cytoplasmic secretory granule found in enzyme-secreting cells and visible by light microscopy. Contain zymogen, an inactive enzyme precursor, often of a digestive enzyme."	
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/FOODON_03460119>	"A food modification process by microbial or enzymatic action which results in molecular changes in any food component."@en	"http://www.langual.org/langual_thesaurus.asp?termid=H0119"
<http://purl.obolibrary.org/obo/CL_0002681>	"A cell that is part of a cortex of kidney."	
<http://purl.obolibrary.org/obo/UBERON_0011272>		"EHDAA2:0001845"
<http://purl.obolibrary.org/obo/NCBITaxon_8457>		"GC_ID:1"
<http://purl.obolibrary.org/obo/UBERON_0006235>	"An anatomical junctions that overlaps the foregut and midgut."	"VHOG:0000291 EMAPA:16363 EHDAA2:0000569 EHDAA:526"
<http://purl.obolibrary.org/obo/GO_0007143>	"A cell cycle process by which the cell nucleus divides as part of a meiotic cell cycle in the female germline."	
<http://purl.obolibrary.org/obo/CL_0000295>	"A peptide hormone secreting cell that produces growth hormone, somatotropin."	
<http://purl.obolibrary.org/obo/MAXO_0000024>	"Any surgical procedure conducted on the camera-type eye."	
<http://purl.obolibrary.org/obo/HP_0011915>	"Abnormal calcification in the cardiovascular system."	"UMLS:C4023128"
<http://purl.obolibrary.org/obo/CHEBI_64769>	"A cationic group that contains carbon."	
<http://purl.obolibrary.org/obo/GO_0031099>	"The regrowth of a lost or destroyed body part, such as an organ or tissue. This process may occur via renewal, repair, and/or growth alone (i.e. increase in size or mass)."	"Wikipedia:Regeneration_(biology)"
<http://purl.obolibrary.org/obo/GO_0051608>	"The directed movement of histamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Histamine is a physiologically active amine, found in plant and animal tissue and released from mast cells as part of an allergic reaction in humans."	
<http://purl.obolibrary.org/obo/CL_0007001>	"Cell that has the potential to form a skeletal cell type (e.g. cells in periosteum, cells in marrow) and produce extracellular matrix (often mineralized) and skeletal tissue (often mineralized)."	
<http://purl.obolibrary.org/obo/FOODON_00002147>		
<http://purl.obolibrary.org/obo/MAXO_0000594>	"A method to measure very small amounts of RNA transcripts as cDNA targets from tissue, blood, sputum or other body fluids."	"OBI:0000911 NCIT:C28408"
<http://purl.obolibrary.org/obo/CL_0000008>	"Cell that is part of the migratory cranial neural crest population. Migratory cranial neural crest cells develop from premigratory cranial neural crest cells and have undergone epithelial to mesenchymal transition and delamination."	
<http://purl.obolibrary.org/obo/CL_0000071>	"An endothelial cell that lines the vasculature."	
<http://purl.obolibrary.org/obo/UBERON_0004066>	"The unpaired embryonic prominence that is formed by the tissues surrounding the forebrain vesicle and develops into the forehead and bridge of the nose/snout."	"Wikipedia:Frontonasal_prominence EHDAA:4778 EMAPA:16681 VHOG:0001319 SCTID:361486000 EHDAA2:0000578 NCIT:C34182 FMA:293101"
<http://purl.obolibrary.org/obo/UBERON_0003978>		"EHDAA:4406 FMA:67611 EHDAA2:0004046 galen:Valve EHDAA:1892"
<http://purl.obolibrary.org/obo/UBERON_0035004>		"EMAPA:35702"
<http://purl.obolibrary.org/obo/CHEBI_24866>	"A salt is an assembly of cations and anions."	
<http://purl.obolibrary.org/obo/FOODON_03470107>	"The methods contributing to the prevention or retardation of microbial, enzymatic or oxidative spoilage and thus to the extension of shelf life. Index all methods for which information is available, even if a corresponding descriptor has already been used in *H. TREATMENT APPLIED*. Preservation descriptors refer to the finished food as a whole with these exceptions: (1) if the components of a multi-component food, such as cream pie, are preservation by different methods, index all methods; (2)  if chemical preservatives are declared on the label, always index them even if it is known that the preservative was introduced through or is only present in a component or ingredient of the food; and (3) if the preservation method for an ingredient is declared on the label (such as brie cheese made from pasteurized milk) index it. Also use *INGREDIENT preservation by THERMAL PROCESSING* or *INGREDIENT preservation by IRRADIATION* when ingredients have been pasteurized, ultrapasteurized, sterilized or irradiated."@en	"http://www.langual.org/langual_thesaurus.asp?termid=J0107"
<http://purl.obolibrary.org/obo/CL_0010009>	"Any photoreceptor cell that is part of some camera-type eye."	
<http://purl.obolibrary.org/obo/UBERON_0016548>	"A layer of of the central nervous system that is part of gray matter."	"FMA:83142"
<http://purl.obolibrary.org/obo/MAXO_0010301>	"Collection biological material from within the rectum with a cotton swab for use in clinical tests."	
<http://purl.obolibrary.org/obo/CHEBI_135063>		
<http://purl.obolibrary.org/obo/FOODON_03315149>		"https://bioregistry.io/reference/siren:F15149"
<http://purl.obolibrary.org/obo/CHEBI_24315>	"An amino acid derivative resulting from reaction of glutamic acid at the amino group or either of the carboxy groups, or from the replacement of any hydrogen by a heteroatom. The definition normally excludes peptides containing glutamic acid residues."	
<http://purl.obolibrary.org/obo/UBERON_0034713>	"Any of the cranial nerves, or their central nervous system analogs (the optic tract, the epiphyseal tract). These analogs are not true nerves, and are instead evaginated sensory afferents emanating from the brain."	
<http://purl.obolibrary.org/obo/NCBITaxon_9526>		"GC_ID:1"
<http://purl.obolibrary.org/obo/PR_000005178>	"A tetraspanin that is a translation product of the human CD9 gene or a 1:1 ortholog thereof."	
<http://purl.obolibrary.org/obo/CHEBI_60311>	"Any hormone produced by the thyroid gland"	
<http://purl.obolibrary.org/obo/CHEBI_64571>	"An excitatory amino acid agonist which binds to NMDA receptors and triggers a response."	
<http://purl.obolibrary.org/obo/MAXO_0009045>	"Surgical placement of a prosthetic device to replace a joint."	
<http://purl.obolibrary.org/obo/UBERON_0003091>	"The initial thyroid precursor, the thyroid primordium, starts as a simple midline thickening and develops to form the thyroid diverticulum. This structure is initially hollow, although it later solidifies and becomes bilobed. The 2 lobes are located on either side of the midline and are connected via an isthmus."	"EHDAA2:0002033 AAO:0011106 NCIT:C34312 XAO:0000444 EMAPA:16361 EHDAA:952 TAO:0001081 ZFA:0001081 BTO:0004709"
