#GR_shortname	GR_Title	NBK_id	PMID
bethlem	Collagen Type VI-Related Disorders	NBK1503	20301676
bfns	KCNQ2-Related Disorders	NBK32534	20437616
bgc	Primary Familial Brain Calcification	NBK1421	20301594
bgd-biotin	Biotin-Thiamine-Responsive Basal Ganglia Disease 	NBK169615	24260777
bgs	Baller-Gerold Syndrome	NBK1204	20301383
bhd	Birt-Hogg-Dube Syndrome	NBK1522	20301695
bietti-cd	Bietti Crystalline Dystrophy	NBK91457	22497028
biotin	Biotinidase Deficiency	NBK1322	20301497
bloom	Bloom's Syndrome	NBK1398	20301572
bofs	Branchiooculofacial Syndrome	NBK55063	21634087
bor	Branchiootorenal Spectrum Disorders	NBK1380	20301554
bpan	Beta-Propeller Protein-Associated Neurodegeneration	NBK424403	28211668
bpes	Blepharophimosis, Ptosis, and Epicanthus Inversus	NBK1441	20301614
brca1	BRCA1- and BRCA2-Associated Hereditary Breast and Ovarian Cancer	NBK1247	20301425
brugada	Brugada Syndrome	NBK1517	20301690
bscl	Berardinelli-Seip Congenital Lipodystrophy	NBK1212	20301391
b-thal	Beta-Thalassemia	NBK1426	20301599
burn-mckeown	Burn-McKeown Syndrome	NBK373577	27413799
bvd	Best Vitelliform Macular Dystrophy	NBK1167	20301346
bws	Beckwith-Wiedemann Syndrome	NBK1394	20301568
ca5a-def	Carbonic Anhydrase VA Deficiency	NBK284774	25834911
cach	Childhood Ataxia with Central Nervous System Hypomelination/Vanishing White Matter	NBK1258	20301435
cadasil	CADASIL	NBK1500	20301673
caffey	Caffey Disease	NBK99168	22855962
cah	21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia	NBK1171	20301350
campo-dysp	Campomelic Dysplasia	NBK1760	20301724
canavan	Canavan Disease	NBK1234	20301412
cantu	Cantú syndrome	NBK246980	25275207
carasil	CARASIL	NBK32533	20437615
carney	Carney Complex	NBK1286	20301463
cask-dis	CASK-Related Disorders	NBK169825	24278995
catsper-mi	CATSPER-Related Male Infertility	NBK22925	20301780
cav	Caveolinopathies	NBK1385	20301559
cbl	Disorders of Intracellular Cobalamin Metabolism	NBK1328	20301503
cc2-leuk	CLCN2-Related Leukoencephalopathy	NBK326661	26539602
cca	Congenital Contractural Arachnodactyly	NBK1386	20301560
ccd	Cleidocranial Dysplasia	NBK1513	20301686
ccfdn	Congenital Cataracts, Facial Dysmorphism, and Neuropathy	NBK25565	20301787
ccm	Familial Cerebral Cavernous Malformation	NBK1293	20301470
cco	Central Core Disease	NBK1391	20301565
cda1	Congenital Dyserythropoietic Anemia Type I	NBK5313	20301759
cd-chst3	CHST3-Related Skeletal Dysplasia	NBK62112	21882400
cdg	Congenital Disorders of N-Linked Glycosylation and Multiple Pathway Overview	NBK1332	20301507
cdg-1a	PMM2-CDG (CDG-Ia)	NBK1110	20301289
cdh-ov	Congenital Diaphragmatic Hernia Overview	NBK1359	20301533
cdls	Cornelia de Lange Syndrome	NBK1104	20301283
cdp1-xlr	Chondrodysplasia Punctata 1, X-Linked	NBK1544	20301713
cdsp	Systemic Primary Carnitine Deficiency	NBK84551	22420015
cebpa-aml	CEBPA-Associated Familial Acute Myeloid Leukemia (AML)	NBK47457	20963938
ced	Camurati-Engelmann Disease	NBK1156	20301335
ce-dysp	Cranioectodermal Dysplasia	NBK154653	24027799
celiac	Celiac Disease	NBK1727	20301720
cep	Congenital Erythropoietic Porphyria	NBK154652	24027798
cf	Cystic Fibrosis and Congenital Absence of the Vas Deferens	NBK1250	20301428
cfc	Cardiofaciocutaneous Syndrome	NBK1186	20301365
cfeom	Congenital Fibrosis of the Extraocular Muscles	NBK1348	20301522
cftd	Congenital Fiber-Type Disproportion	NBK1259	20301436
cgd	Chronic Granulomatous Disease	NBK99496	22876374
chac	Chorea-Acanthocytosis	NBK1387	20301561
char	Char Syndrome	NBK1106	20301285
charge	CHARGE Syndrome	NBK1117	20301296
chchd10-dis	CHCHD10-Related Disorders	NBK304142	26131548
chd2-dis	CHD2-Related Neurodevelopmental Disorders	NBK333201	26677509
chediak-higashi	Chediak-Higashi Syndrome	NBK5188	20301751
cherubism	Cherubism	NBK1137	20301316
chh	Cartilage-Hair Hypoplasia - Anauxetic Dysplasia Spectrum Disorders 	NBK84550	22420014
choroid	Choroideremia	NBK1337	20301511
chrom17-lis	LIS1-Associated Lissencephaly/Subcortical Band Heterotopia	NBK5189	20301752
ciss	Cold-Induced Sweating Syndrome including Crisponi Syndrome	NBK52917	21370513
citrin	Citrin Deficiency	NBK1181	20301360
clcn7	CLCN7-Related Osteopetrosis	NBK1127	20301306
clpb-def	CLPB Deficiency	NBK396257	27891836
cls	Coffin-Lowry Syndrome	NBK1346	20301520
cmd-overview	Congenital Muscular Dystrophy Overview	NBK1291	20301468
cms	Congenital Myasthenic Syndromes	NBK1168	20301347
cmt	Charcot-Marie-Tooth Hereditary Neuropathy Overview	NBK1358	20301532
cmt1	Charcot-Marie-Tooth Neuropathy Type 1	NBK1205	20301384
cmt2	Charcot-Marie-Tooth Neuropathy Type 2	NBK1285	20301462
cmt2a	Charcot-Marie-Tooth Neuropathy Type 2A	NBK1511	20301684
cmt2c	TRPV4-Associated Disorders	NBK201366	24830047
cmt2d	GARS-Associated Axonal Neuropathy	NBK1242	20301420
cmt2e	Charcot-Marie-Tooth Neuropathy Type 2E/1F	NBK1187	20301366
cmt4	Charcot-Marie-Tooth Neuropathy Type 4	NBK1468	20301641
cmt-4a	GDAP1-Related Hereditary Motor and Sensory Neuropathy	NBK1539	20301711
cmt4c	Charcot-Marie-Tooth Neuropathy Type 4C	NBK1340	20301514
cmt4h	Charcot-Marie-Tooth Neuropathy Type 4H	NBK153601	23926620
cmt4j	Charcot-Marie-Tooth Neuropathy Type 4J	NBK169431	24228289
cmt-dib	DNM2-Related Intermediate Charcot-Marie-Tooth Neuropathy	NBK45014	20614582
cmtx	Charcot-Marie-Tooth Neuropathy X Type 1	NBK1374	20301548
cmtx5	Charcot-Marie-Tooth Neuropathy X Type 5	NBK1876	20301731
cockayne	Cockayne Syndrome	NBK1342	20301516
coffin-siris	Coffin-Siris Syndrome	NBK131811	23556151
cohen	Cohen Syndrome	NBK1482	20301655
col4a1-dis	COL4A1-Related Disorders	NBK7046	20301768
coq10-def	Primary Coenzyme Q10 Deficiency	NBK410087	28125198
costello	Costello Syndrome	NBK1507	20301680
cpt1a	Carnitine Palmitoyltransferase 1A Deficiency	NBK1527	20301700
cpt2	Carnitine Palmitoyltransferase II Deficiency	NBK1253	20301431
cranio-md	Craniometaphyseal Dysplasia, Autosomal Dominant	NBK1461	20301634
craniosynostosis	FGFR-Related Craniosynostosis Syndromes	NBK1455	20301628
creatine	Creatine Deficiency Syndromes	NBK3794	20301745
csc-dys	Congenital Stromal Corneal Dystrophy	NBK2690	20301741
csnb	X-Linked Congenital Stationary Night Blindness	NBK1245	20301423
ctlm	Citrullinemia Type I	NBK1458	20301631
ctns	Cystinosis	NBK1400	20301574
ctx	Cerebrotendinous Xanthomatosis	NBK1409	20301583
cutis-laxa	ATP6V0A2-Related Cutis Laxa	NBK5200	20301755
cvt	Catecholaminergic Polymorphic Ventricular Tachycardia	NBK1289	20301466
cyclic-n	ELANE-Related Neutropenia	NBK1533	20301705
dbh	Dopamine Beta-Hydroxylase Deficiency	NBK1474	20301647
dbmd	Dystrophinopathies	NBK1119	20301298
dcm-lmna	LMNA-Related Dilated Cardiomyopathy	NBK1674	20301717
dcm-ov	Dilated Cardiomyopathy Overview	NBK1309	20301486
dcx	DCX-Related Disorders	NBK1185	20301364
ddon	Deafness-Dystonia-Optic Neuronopathy Syndrome	NBK1216	20301395
deafness-overview	Hereditary Hearing Loss and Deafness Overview	NBK1434	20301607
del16p11_2	16p11.2 Recurrent Microdeletion	NBK11167	20301775
del1p36	1p36 Deletion Syndrome	NBK1191	20301370
del2q37_2	2q37 Microdeletion Syndrome	NBK1158	20301337
dent	Dent Disease	NBK99494	22876375
depdc5-epilepsy	DEPDC5-Related Epilepsy 	NBK385626	27683934
df-lamm	Congenital Deafness with Labyrinthine Aplasia, Microtia, and Microdontia	NBK100664	22993869
dfna2	DFNA2 Nonsyndromic Hearing Loss	NBK1209	20301388
dfna3	Nonsyndromic Hearing Loss and Deafness, DFNA3	NBK1536	20301708
dfnb1	Nonsyndromic Hearing Loss and Deafness, DFNB1	NBK1272	20301449
dfnb9	OTOF-Related Deafness	NBK1251	20301429
dfn-myop	Deafness and Myopia Syndrome	NBK269029	25590127
dfnx1	DFNX1 Nonsyndromic Hearing Loss and Deafness	NBK57098	21834172
dguok-mtddepl	Deoxyguanosine Kinase Deficiency	NBK7040	20301766
diamond-b	Diamond-Blackfan Anemia	NBK7047	20301769
diastrophic-d	Diastrophic Dysplasia	NBK1350	20301524
dkc	Dyskeratosis Congenita	NBK22301	20301779
dld-def	Dihydrolipoamide Dehydrogenase Deficiency	NBK220444	25032271
dmn	Permanent Neonatal Diabetes Mellitus	NBK1447	20301620
dmtn	Diabetes Mellitus, 6q24-Related Transient Neonatal	NBK1534	20301706
dnmt1-ddsn	DNMT1-Related Dementia, Deafness, and Sensory Neuropathy	NBK84112	22338191
donnai	Donnai-Barrow Syndrome	NBK1878	20301732
drd	GTP Cyclohydrolase 1-Deficient Dopa-Responsive Dystonia	NBK1508	20301681
drpla	DRPLA	NBK1491	20301664
drrs	SALL4-Related Disorders	NBK1373	20301547
duane	Duane Syndrome	NBK1190	20301369
duarte-gal	Duarte Variant Galactosemia	NBK258640	25473725
dup15q	15q Duplication Syndrome and Related Disorders	NBK367946	27308687
dup17q12	17q12 Recurrent Duplication	NBK344340	26925472
dup7q11_23	7q11.23 Duplication Syndrome	NBK327268	26610320
dupl22q11	22q11.2 Duplication	NBK3823	20301749
dyrk1a-id	DYRK1A-Related Intellectual Disability Syndrome	NBK333438	26677511
dystonia	DYT1 Early-Onset Isolated Dystonia	NBK1492	20301665
dystonia-ov	Hereditary Dystonia Overview	NBK1155	20301334
ea1	Episodic Ataxia Type 1	NBK25442	20301785
ea2	Episodic Ataxia Type 2	NBK1501	20301674
ebd	Dystrophic Epidermolysis Bullosa	NBK1304	20301481
ebj	Junctional Epidermolysis Bullosa	NBK1125	20301304
eb-pa	Epidermolysis Bullosa with Pyloric Atresia	NBK1157	20301336
ebs	Epidermolysis Bullosa Simplex	NBK1369	20301543
ed2	Hidrotic Ectodermal Dysplasia 2	NBK1200	20301379
edm	Multiple Epiphyseal Dysplasia, Recessive	NBK1306	20301483
edm-ad	Multiple Epiphyseal Dysplasia, Dominant	NBK1123	20301302
edmd	Emery-Dreifuss Muscular Dystrophy	NBK1436	20301609
eds	Ehlers-Danlos Syndrome, Classic Type	NBK1244	20301422
eds3	Ehlers-Danlos Syndrome, Hypermobility Type	NBK1279	20301456
eds4	Vascular Ehlers-Danlos Syndrome	NBK1494	20301667
eds6	Ehlers-Danlos Syndrome, Kyphoscoliotic Form	NBK1462	20301635
ee	Ethylmalonic Encephalopathy	NBK453432	28933811
efemp2-cutis-laxa	EFEMP2-Related Cutis Laxa	NBK54467	21563328
emanuel	Emanuel Syndrome	NBK1263	20301440
epb42-spherocytosis	EPB42-Related Hereditary Spherocytosis	NBK190102	24624460
epm1	Unverricht-Lundborg Disease	NBK1142	20301321
epp-ar	Erythropoietic Protoporphyria, Autosomal Recessive	NBK100826	23016163
epp-xl	X-Linked Protoporphyria	NBK121284	23409301
etha	SCN9A-Related Inherited Erythromelalgia	NBK1163	20301342
exosc3-pc-hypo-p	EXOSC3-Related Pontocerebellar Hypoplasia	NBK236968	25144110
ext	Hereditary Multiple Osteochondromas	NBK1235	20301413
fa	Fanconi Anemia	NBK1401	20301575
fabry	Fabry Disease	NBK1292	20301469
factor-v-leiden	Factor V Leiden Thrombophilia	NBK1368	20301542
fahn	Fatty Acid Hydroxylase-Associated Neurodegeneration	NBK56080	21735565
fap	APC-Associated Polyposis Conditions	NBK1345	20301519
fbln5-cutis-laxa	FBLN5-Related Cutis Laxa	NBK5201	20301756
fbxl4-mtddepl	FBXL4-Related Encephalomyopathic Mitochondrial DNA Depletion Syndrome	NBK425540	28383868
fcmd	Fukuyama Congenital Muscular Dystrophy	NBK1206	20301385
fd	Familial Dysautonomia	NBK1180	20301359
feingold	Feingold Syndrome 1	NBK7050	20301770
fevr	Familial Exudative Vitreoretinopathy, Autosomal Dominant	NBK1147	20301326
fg	MED12-Related Disorders	NBK1676	20301719
fhm	Familial Hemiplegic Migraine	NBK1388	20301562
fhs	Floating-Harbor Syndrome	NBK114458	23193612
flnb-dis	FLNB-Related Disorders	NBK2534	20301736
fmf	Familial Mediterranean Fever	NBK1227	20301405
focal-dh	Focal Dermal Hypoplasia	NBK1543	20301712
folate-mal	Hereditary Folate Malabsorption	NBK1673	20301716
foxp2-sl-dis	FOXP2-Related Speech and Language Disorders	NBK368474	27336128
fragilex	FMR1-Related Disorders	NBK1384	20301558
friedreich	Friedreich Ataxia	NBK1281	20301458
fryns	Fryns Syndrome	NBK1459	20301632
fsh	Facioscapulohumeral Muscular Dystrophy	NBK1443	20301616
ftd-chmp2b	Frontotemporal Dementia, Chromosome 3-Linked	NBK1199	20301378
ftd-grn	GRN-Related Frontotemporal Dementia	NBK1371	20301545
ftdp-17	MAPT-Related Disorders	NBK1505	20301678
fum	Fumarate Hydratase Deficiency	NBK1506	20301679
g6pc3-def	G6PC3 Deficiency	NBK285321	25879134
gaci	Generalized Arterial Calcification of Infancy	NBK253403	25392903
galactosemia	Classic Galactosemia and Clinical Variant Galactosemia	NBK1518	20301691
gale-def	Epimerase Deficiency Galactosemia	NBK51671	21290786
gan	Giant Axonal Neuropathy	NBK1136	20301315
gata1	GATA1-Related X-Linked Cytopenia	NBK1364	20301538
gaucher	Gaucher Disease	NBK1269	20301446
gcps	Greig Cephalopolysyndactyly Syndrome	NBK1446	20301619
gefs	SCN1A-Related Seizure Disorders	NBK1318	20301494
geleophys-dysp	Geleophysic Dysplasia	NBK11168	20301776
glc	Primary Congenital Glaucoma	NBK1135	20301314
glut1	Glucose Transporter Type 1 Deficiency Syndrome	NBK1430	20301603
gm1-ganglio	GLB1-Related Disorders	NBK164500	24156116
gnas-dis	Disorders of GNAS Inactivation	NBK459117	29072892
gonad-dys-46xy	Nonsyndromic Disorders of Testicular Development	NBK1547	20301714
gr_22q11deletion	22q11.2 Deletion Syndrome	NBK1523	20301696
gr_22q13_3	Phelan-McDermid Syndrome	NBK1198	20301377
gr_3ms	3-M Syndrome	NBK1481	20301654
grin2a-dis	GRIN2A-Related Speech Disorders and Epilepsy	NBK385627	27683935
gsd1	Glycogen Storage Disease Type I	NBK1312	20301489
gsd2	Pompe Disease	NBK1261	20301438
gsd3	Glycogen Storage Disease Type III	NBK26372	20301788
gsd4	Glycogen Storage Disease Type IV	NBK115333	23285490
gsd5	Glycogen Storage Disease Type V	NBK1344	20301518
gsd6	Glycogen Storage Disease Type VI	NBK5941	20301760
gsd9	Phosphorylase Kinase Deficiency	NBK55061	21634085
hartsfield	Hartsfield Syndrome	NBK349073	26937548
hcp	Hereditary Coproporphyria	NBK114807	23236641
hd-l2	Huntington Disease-Like 2	NBK1529	20301701
hdls	CSF1R-Related Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia	NBK100239	22934315
hemo-a	Hemophilia A	NBK1404	20301578
hemo-b	Hemophilia B	NBK1495	20301668
hemochromatosis	HFE-Associated Hereditary Hemochromatosis	NBK1440	20301613
hep	Hepatoerythropoietic Porphyria	NBK169003	24175354
hepatic-fibrosis	Congenital Hepatic Fibrosis Overview	NBK2701	20301743
hfg	Hand-Foot-Genital Syndrome	NBK1423	20301596
hfi	Hereditary Fructose Intolerance	NBK333439	26677512
hfpoik-tmp	Hereditary Fibrosing Poikiloderma with Tendon Contractures, Myopathy, and Pulmonary Fibrosis	NBK390610	27748098
hgc	Hereditary Diffuse Gastric Cancer	NBK1139	20301318
hgps	Hutchinson-Gilford Progeria Syndrome	NBK1121	20301300
hhhs	Hyperornithinemia-Hyperammonemia-Homocitrullinuria  Syndrome	NBK97260	22649802
hht	Hereditary Hemorrhagic Telangiectasia	NBK1351	20301525
hi	Familial Hyperinsulinism	NBK1375	20301549
higes	Autosomal Dominant Hyper IgE Syndrome	NBK25507	20301786
hirschsprung-ov	Hirschsprung Disease Overview	NBK1439	20301612
hlh	Hemophagocytic Lymphohistiocytosis, Familial	NBK1444	20301617
hlrcc	Hereditary Leiomyomatosis and Renal Cell Cancer	NBK1252	20301430
hmdpc	Dystonia/Parkinsonism, Hypermanganesemia, Polycythemia, and Chronic Liver Disease	NBK100241	22934317
hmerf	Hereditary Myopathy with Early Respiratory Failure (HMERF)	NBK185330	24575448
hna	Hereditary Neuralgic Amyotrophy	NBK1395	20301569
hnpcc	Lynch Syndrome	NBK1211	20301390
hnpp	Hereditary Neuropathy with Liability to Pressure Palsies	NBK1392	20301566
homocystinuria	Homocystinuria Caused by Cystathionine Beta-Synthase Deficiency	NBK1524	20301697
hops	Hypophosphatasia	NBK1150	20301329
hos	Holt-Oram Syndrome	NBK1111	20301290
hpe-overview	Holoprosencephaly Overview	NBK1530	20301702
hpp	Hypokalemic Periodic Paralysis	NBK1338	20301512
hps	Hermansky-Pudlak Syndrome	NBK1287	20301464
hrpt2	CDC73-Related Disorders	NBK3789	20301744
hsan2	Hereditary Sensory and Autonomic Neuropathy Type II	NBK49247	21089229
hsan4	Congenital Insensitivity to Pain with Anhidrosis	NBK1769	20301726
hsn1	Hereditary Sensory Neuropathy Type IA	NBK1390	20301564
hsp	Hereditary Spastic Paraplegia Overview	NBK1509	20301682
hunter	Mucopolysaccharidosis Type II	NBK1274	20301451
huntington	Huntington Disease	NBK1305	20301482
husa	Genetic Atypical Hemolytic-Uremic Syndrome	NBK1367	20301541
hyper-card	Hypertrophic Cardiomyopathy Overview	NBK1768	20301725
hyperchol	Familial Hypercholesterolemia	NBK174884	24404629
hyperek	Hyperekplexia	NBK1260	20301437
hyper-nfj2	Autosomal Dominant Tubulointerstitial Kidney Disease, REN-Related	NBK53700	21473025
hyper-pp	Hyperkalemic Periodic Paralysis	NBK1496	20301669
hypochondroplasia	Hypochondroplasia	NBK1477	20301650
hypo-mcc	Hypomyelination and Congenital Cataract	NBK2587	20301737
iahsp	ALS2-Related Disorders	NBK1243	20301421
ibm	GNE-Related Myopathy	NBK1262	20301439
ibmpfd	Inclusion Body Myopathy with Paget Disease of Bone and/or Frontotemporal Dementia	NBK1476	20301649
iiae3	Susceptibility to Infection-Induced Acute Encephalopathy 3	NBK258641	25473726
image	IMAGe Syndrome	NBK190103	24624461
inad	PLA2G6-Associated Neurodegeneration	NBK1675	20301718
i-p	Incontinentia Pigmenti	NBK1472	20301645
ipa	AIP-Related Familial Isolated Pituitary Adenomas 	NBK97965	22720333
ipex	IPEX Syndrome	NBK1118	20301297
iso-def	Isolated Sulfite Oxidase Deficiency	NBK453433	28933809
issd	Free Sialic Acid Storage Disorders	NBK1470	20301643
jh	Juvenile Hereditary Hemochromatosis	NBK1170	20301349
jln	Jervell and Lange-Nielsen Syndrome	NBK1405	20301579
joubert	Joubert Syndrome	NBK1325	20301500
jpd	Parkin Type of Early-Onset Parkinson Disease	NBK1478	20301651
jps	Juvenile Polyposis Syndrome	NBK1469	20301642
kabuki	Kabuki Syndrome	NBK62111	21882399
kat6b-dis	KAT6B-Related Disorders	NBK114806	23236640
kcnk9-is	KCNK9 Imprinting Syndrome	NBK425128	28333430
kcnq3-dis	KCNQ3-Related Disorders	NBK201978	24851285
kennedy	Spinal and Bulbar Muscular Atrophy	NBK1333	20301508
kindler	Kindler Syndrome	NBK349072	26937547
kleefstra	Kleefstra Syndrome	NBK47079	20945554
kms	Isolated Gonadotropin-Releasing Hormone (GnRH) Deficiency	NBK1334	20301509
kos	Kaufman Oculocerebrofacial Syndrome	NBK390670	27763745
krabbe	Krabbe Disease	NBK1238	20301416
kss	Mitochondrial DNA Deletion Syndromes	NBK1203	20301382
l1cam	L1 Syndrome	NBK1484	20301657
lad-ad	Autosomal Dominant Leukodystrophy with Autonomic Disease	NBK338165	26749591
lafora	Progressive Myoclonus Epilepsy, Lafora Type	NBK1389	20301563
lal-def	Lysosomal Acid Lipase Deficiency	NBK305870	26225414
lbsl	Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation	NBK43417	20506600
lca	Leber Congenital Amaurosis	NBK1298	20301475
lds	Lymphedema-Distichiasis Syndrome	NBK1457	20301630
legius	Legius Syndrome	NBK47312	20945555
leigh-nucl-ov	Nuclear Gene-Encoded Leigh Syndrome Overview 	NBK320989	26425749
lenz	Lenz Microphthalmia Syndrome	NBK1521	20301694
leopard	Noonan Syndrome with Multiple Lentigines	NBK1383	20301557
leukodys-ov	Leukodystrophy Overview	NBK184570	24501781
lgmd2a	Calpainopathy	NBK1313	20301490
lgmd-overview	Limb-Girdle Muscular Dystrophy Overview	NBK1408	20301582
lhon	Leber Hereditary Optic Neuropathy	NBK1174	20301353
li-ar	Autosomal Recessive Congenital Ichthyosis	NBK1420	20301593
li-fraumeni	Li-Fraumeni Syndrome	NBK1311	20301488
lipoid-p	Lipoid Proteinosis	NBK338540	26803878
lms	Lateral Meningocele Syndrome	NBK368476	27336130
lns	Lesch-Nyhan Syndrome	NBK1149	20301328
loeys-dietz	Loeys-Dietz Syndrome	NBK1133	20301312
lowe	Lowe Syndrome	NBK1480	20301653
lpi	Lysinuric Protein Intolerance	NBK1361	20301535
lpl	Familial Lipoprotein Lipase Deficiency	NBK1308	20301485
lrrk2	LRRK2-Related Parkinson Disease	NBK1208	20301387
ltbp4-cutis-laxa	LTBP4-Related Cutis Laxa	NBK343782	26866239
lwd	SHOX Difficiency Disorders	NBK1215	20301394
majeed	Majeed Syndrome	NBK1974	20301735
maps	MUTYH-Associated Polyposis	NBK107219	23035301
marfan	Marfan Syndrome	NBK1335	20301510
mbd5-dis	MBD5 Haploinsufficiency	NBK390803	27786435
mcad	Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency	NBK1424	20301597
mccune-albright	Fibrous Dysplasia/McCune-Albright Syndrome	NBK274564	25719192
mckd1	Autosomal Dominant Tubulointerstitial Kidney Disease, MUC1-Related	NBK153723	23946964
mckd2	Autosomal Dominant Tubulointerstitial Kidney Disease, UMOD-Related	NBK1356	20301530
mcleod	McLeod Neuroacanthocytosis Syndrome	NBK1354	20301528
mdef-cmd	LAMA2-Related Muscular Dystrophy	NBK97333	22675738
mdel15q13_3	15q13.3 Microdeletion	NBK50780	21290787
mdel15q24	15q24 Microdeletion	NBK84258	22359776
mdel16p12_2	16p12.2 Microdeletion	NBK274565	25719193
mdel17q12	17q12 Recurrent Deletion Syndrome	NBK401562	27929632
mdel17q21_31	KANSL1-Related Intellectual Disability Syndrome	NBK24676	20301783
mdel1q21_1	1q21.1 Recurrent Microdeletion	NBK52787	21348049
mdel3q29	3q29 Recurrent Deletion	NBK385289	27656750
mdel9q22_3	9q22.3 Microdeletion	NBK61984	21850767
me-ataxia	PRICKLE1-Related Progressive Myoclonus Epilepsy with Ataxia	NBK9674	20301774
mecp2-dup	MECP2 Duplication Syndrome	NBK1284	20301461
megdel	MEGDEL Syndrome	NBK195853	24741715
melas	MELAS	NBK1233	20301411
men1	Multiple Endocrine Neoplasia Type 1	NBK1538	20301710
men2	Multiple Endocrine Neoplasia Type 2	NBK1257	20301434
menkes	ATP7A-Related Copper Transport Disorders	NBK1413	20301586
merrf	MERRF	NBK1520	20301693
mf-dys-mic	Mandibulofacial Dysostosis with Microcephaly	NBK214367	24999515
mfm	Myofibrillar Myopathy	NBK1499	20301672
mga3	OPA3-Related 3-Methylglutaconic Aciduria	NBK1473	20301646
m-hfm-ov	Craniofacial Microsomia Overview	NBK5199	20301754
mhs	Malignant Hyperthermia Susceptibility	NBK1146	20301325
